NAVIGATOR	Desktop Assistant
XRAY	Web Assistant
LIBRARY	library
MANAGER	Manager
form_bubble	Bublina formuláře
bform_height	Výška
bform_height.h	Definuje výšku bubliny formuláře, která se má zobrazit, v pixelech.
bform_width	Šířka
bform_width.h	Definuje šířku bubliny formuláře, která se má zobrazit, v pixelech.
bform_position	Pozice
bform_position.h	Definuje pozici bubliny formuláře (vlevo, nahoře) pro volné zarovnání na obrazovce. Hodnoty jsou zadány v pixelech.
paramAutoMergeComplete	Sloučení obrazovek bylo dokončeno.
form	Formulář
application_contexts	Aplikace
﻿Application	Aplikace
highlight_offset	Posun
AutoBarChooseApp	Výběr aplikace
AutoBarReRecManual	Klikněte na objekt.
BubbleOnActivate	Zobrazit bublinu přímo
ClickOnAAPosition	Kliknutím v aplikaci definujte obdélník.
ClickOnPosition	Klikněte na pozici v aplikaci.
EnabledOnPgLoad	Aktivovat
HighlightOnActivate	Zobrazit zvýraznění přímo
start_from_arbitrary	Začít od libovolného kroku
focus_step	Vrstva fokusu
focus_step.h	Jen prohlídka s výkladem\nZobrazuje šedou vrstvu ke zvýraznění ovládacího prvku, který je v aktuálním kroku povinný.
yes	Ano
no	Ne
light_mode	Interaktivní režim
light_mode.h	Udává, že uživatel musí navigovat v bublině objektu k dalšímu kroku. Během přehrávání se neprovádí rozpoznávání stránky.
restricted_mode	Omezený režim
restricted_mode.h	Specifikuje, že lze provést pouze aktuální akci. Ostatní ovládací prvky stránky aplikace jsou blokovány. \nNastavení lze použít, pokud byla aktivována 'Vrstva fokusu'.
show_highlight	Zvýraznění
action	Akce
active_area	Aktivní oblast
add_application_expl	Vložit vysvětlení
adv	Rozšířené
display_behavior	Zobrazení – chování
all_values	Všechny hodnoty
anim_steps	Kroky animace
application_context	Aplikace
area	Oblast
auto_merge	Sloučit makra obrazovky
b_height	Výška
form_on	Režim formuláře
b_percent	Bublina viditelná (%)
b_hide_option	Možnost skrytí
b_minimizable	Lze minimalizovat
b_closable	Lze zavřít
b_minimized	Minimalizováno
b_width	Šířka
b_width.h	Definuje šířku bubliny objektu v pixelech.
bmain_minimizable	Lze minimalizovat
bmain_position	Pozice
bmain_win_style	Styl
bmain_size	Velikost
bmain_alignment	Zarovnání
bubble	Bublina objektu
bubble_offset	Posun
bubblestyle_d	Styl
bubblestyle_init	Styl bubliny
choose_appl_template	Vybrat profil aplikace
choose_bool	Vybraná hodnota
choose_nr	Vybraný index
choose_text	Vybraná hodnota
target_static_text	je zaznamenán jako Specifikátor stránky.
target_spec_warning	Upozornění: Pro tento ovládací prvek nejsou k dispozici žádné informace o novém záznamu.
prev_step	Předchozí krok
next_step	Další krok
click	Akce myši
click_pos	Pozice kliknutí
click_pos_rel	Pozice bubliny
config_file	Profil aplikace
define_target	Obrazovka
display	Upravit hlavní bublinu
display_name	Zobrazení – název
drag	Táhnout
drop	Pustit
dump_page	Snímek obrazovky
elem_bubble	Bublina objektu
element_type	Typ objektu
enabled	Povoleno
optional	Nepovinné
enter	Vstoupení myši
executable	Aplikace
explanation_d	Text
explanation_d_modified	Přeložit ručně
explanation_long	Vysvětlení
fh_mouseover	Nápověda při přejetí myši
fh_onelem	Ikona
fh_tooltip	Rychlá nápověda
fh_bubble	Bublina
step_list	Seznam kroků
fieldicon	Obrázek objektu
fieldname	Název objektu
find	Najít
AutoBarChooseScn	Klikněte na odpovídající obrazovku
frame	Rámec
g_highlight_bgr	Barva
g_highlight_border	Ohraničení
g_highlight_effect	Efekt
global	Globální
hide_on_focuslost	Skrýt při ztrátě fokusu
hilight	Zvýraznění
input_radio	Přepínač/zaškrtávací pole
input_text	Vstupní text
init	Inicializace
key	Klávesa
key_desc	Klávesová zkratka
key_name	Kód klávesy
key_press	Stisknutí klávesy
lclick	Kliknutí levým tlačítkem
ldblclick	Dvojité kliknutí levým tlačítkem
force_display	Vynutit zobrazení
auto_execute	Automatické provedení
show_confirmation	Zobrazit potvrzovací tlačítko
show_confirmation.h	Definuje, zda se v bublině objektu při přehrávání zobrazí potvrzovací tlačítko. Tlačítko umožňuje potvrdit provedenou akci a následně se zobrazí další krok.
link_to_sim	Vložit odkaz na simulaci
macro_comment	Komentář
main_bubble	Okno
match_value	Hodnota – shoda
mini_on_focuslost	Minimalizovat při ztrátě fokusu
enable_tincan	Sledování @{NAVIGATOR}
nav_check_freq	Frekvence aktualizace (min.)
navigation	Desktopový asistent
new_screen_context	Nová obrazovka
no_spike	Žádná špička
pa_caption	Prohlídka s výkladem
none	Nic
objname	Název objektu
orientation	Orientace
path	Cesta objektu
position	Pozice
rclick	Kliknutí pravým tlačítkem
rdblclick	Dvojité kliknutí pravým tlačítkem
record_activearea	Záznam aktivní oblasti
record_application_context	Záznam aplikace
no_control	V pozici kliknutí není k dispozici žádný objekt.
record_control	Záznam objektu
record_control_pa	Záznam kroku prohlídky s výkladem
record_define_target	Záznam obrazovky
record_display	Upravit hlavní bublinu
record_end_display	Upravit bublinu
record_explanation	Přidat vysvětlení
record_object_context	Záznam objektu
record_screen_context	Záznam obrazovky
record_target_specializer	Specifikátor stránky záznamu
record_compatible_application	Záznam kompatibilní aplikace
reference	Zdroj
regexp	Regulární výraz
replace	Nahradit
replace_continue	Nahradit a pokračovat...
replace_pgkey_attr	Nahradit atributy klíče stránky
error_regexp	Neplatný regulární výraz. Opravte svůj vstup.
resize	Změnit velikost okna
revision	Revize
sc_config_header	Informace o profilu
screen	Obrazovka
screenhelp	Nápověda k obrazovce
screenshot_rect	Pozice snímku obrazovky
select_single	Vybrat jeden
selected_merge	Sloučit vybraná makra obrazovky
show_bubble	Zobrazit přímo
show_hilight	Zobrazit zvýraznění
show_on_focus	Zobrazit při fokusu
source	Zdroj
start_unit	Styl kontextové nápovědy
subkey	Povoleno jako podklíč
script	Skript
target_name	Titul
target_specializer	Specifikátor stránky
text_d	Vstupní text
text_d_specializer	Vstupní text
tolerance	Tolerance sloučení maker obrazovky
translate	Automatický překlad
autoTranslate	Přeložit projekt
paramReRecordLanguage	Jazyk
merge_critical_macros	Sloučit makra automaticky
merge_critical_macros.h	Pokud převádíte simulace na navigace, můžete automaticky sloučit vytvořené stránky. Stránky budou sloučeny pomocí hodnoty tolerance určené v parametru „Tolerance sloučení maker obrazovky“.
uid	Jedinečný identifikátor
underline	Podtržení
update_control	Aktualizovat objekt
update_target	Aktualizovat obrazovku
variant	Varianta
win_rect	Velikost okna
wizCancel	Zrušit
wizFinish	Dokončit
wizNext	Další
wizOk	OK
wizExplanation	Vysvětlení
wizContinue	Pokračovat
app_info	Zobrazit aplikaci
app_link_to_sim	Vložit odkaz na simulaci pro aplikaci
screen_info	Zobrazit obrazovku
screen_link_to_sim	Vložit odkaz na simulaci pro obrazovku
object_info	Varianta zobrazení
object_link_to_sim	Vložit odkaz na simulaci
disabled	Zakázáno
record_context_assistant_include	Zahrnout projekt @{NAVIGATOR}
project_id	Titul projektu
project_id.h	Parametr obsahuje vložený projekt. Tlačítko „Upravit odkaz“ umožňuje vybrat projekt v pracovní oblasti.
project	Projekt
context_assistant_include	Projekt desktopového asistenta
open_expanded	Zobrazit rozšířenou hlavní bublinu
restart_option	Tlačítko Restart
next_project_id	Další projekt
next_project_id.h	Tato možnost definuje projekt, který bude zahájen po dokončení aktuálního procesu. Nový proces bude zahájen přímo a nezobrazí se žádná koncová bublina.
end_unit	Konec prohlídky
add_end_unit	Přidat konec procesu
demo	Režim demo
uebung	Cvičný režim
praxis	Souběžný režim
test	Testovací režim
doc	Dokument Word
pdf	Dokument PDF
html	Dokument HTML
ppt	Dokument PowerPoint
explanation_type	Ikona
note	Poznámka
info	Informace
tipp	Tip
warnung	Upozornění
no_image	Žádná ikona
display_on	Zobrazit hlavní bublinu
nav_start	Zahájení navigace
app_focus	Fokus aplikace
screen_focus	Fokus obrazovky
never	Nezobrazovat
list_type	Typ seznamu pro obrazovku
list_type.h	Tento parametr určuje typ seznamu objektů na obrazovce, pokud je povolena možnost „Zobrazit všechny informace o objektu“.
unordered_list	Odrážky
ordered_list	Číslování
convert_sn	Generovat desktopového asistenta
Application	Aplikace
obj_context	Objekt
expl_context	Vysvětlení
record_cntrl_type	Typ
disable_standby	Deaktivovat pohotovostní stav (@{NAVIGATOR})
disable_standby.h	Určuje, že pohotovostní stav aplikace @{NAVIGATOR} nelze nastavit. Pokud je tato možnost deaktivovaná, můžete pohotovostní stav nastavit zkratkou „CTRL + F11“ nebo kliknutím na stavovou ikonu.
disable_exit	Skrýt položku Konec (@{NAVIGATOR})
disable_exit.h	Definuje, zda je položka Konec v kontextovém menu stavové ikony @{NAVIGATOR} skrytá.
bcontent_style	Styl bubliny
bcontent_style.h	Toto nastavení definuje, který styl bubliny se má použít pro zobrazení bubliny.
cache_properties	Mezipaměť
cache_folder	Umístění složky
cache_folder.h	Určuje umístění složky mezipaměti 'NavigatorCache'. Výchozí umístění je '%localappdata%'. Můžete zadat vlastní umístění.\nPoznámka: Název složky mezipaměti nelze změnit.
use_caching	Použít ukládání do mezipaměti
use_caching.h	Aktivuje použití mezipaměti @{NAVIGATOR}.
function_keys	Funkční klávesy
minimize_da	Minimalizace
minimize_da.h	Definuje funkční klávesu pro minimalizaci hlavního okna.
next_tab	Vybrat další záložku
next_tab.h	Definuje funkční klávesu pro výběr další záložky v hlavním okně.
next_screen	Přejít na další obrazovku
next_screen.h	Definuje klíč funkce pro přechod na další obrazovku pro vybraný projekt.
back	Zpět
back.h	Definuje funkci pro přechod na předchozí obrazovku.
toggle_standby	Přepnou pohotovostní režim
toggle_standby.h	Definuje funkční klávesu pro přepnutí pohotovostního režimu.
abort	Přerušit
abort.h	Definuje funkční klávesu pro přerušení desktopového asistenta.
restart	Začít znovu
restart.h	Definuje funkční klávestu pro nové zahájení desktopového asistenta.
start_pa	Zahájit projekt desktopového asistenta
start_pa.h	Definuje funkční klávesu pro zahájení vybraného projektu.
start_demo	Spustit režim demo
start_demo.h	Definuje funkční klávesu pro spuštění vybraného režimu demo.
start_prac	Spustit cvičný režim
start_prac.h	Definuje funkční klávesu pro spuštění vybraného cvičného režimu.
start_test	Spustit testovací režim
start_test.h	Definuje funkční klávesu pro spuštění vybraného testovacího režimu.
start_concur	Spustit souběžný režim
start_concur.h	Definuje funkční klávesu pro spuštění vybraného souběžného režimu
start_book	Spustit knihu
start_book.h	Definuje funkční klávesu pro spuštění vybrané knihy.
start_group	Otevřít v library
start_group.h	Definuje klíč funkce pro otevření skupiny v library.
toggle_ctx_rec	Přepnout rozpoznávání kontextu
toggle_ctx_rec.h	Definuje funkční klávesu pro přepnutí rozpoznávání kontextu desktopového asistenta.
select_next	Vybrat další položku
select_next.h	Definuje funkční klávesu pro výběr další položky v aktuálním okně.
select_prev	Vybrat předchozí položku
select_prev.h	Definuje funkční klávesu pro výběr předchozí položky v aktuálním okně.
toggle_warning	Zobrazit dialog upozornění
toggle_warning.h	Definuje funkční klávesu pro zobrazení dialogu upozornění desktopového asistenta.
execute_step	Provést krok
execute_step.h	Definuje funkční klávesu pro provedení kroku při přehrávání prohlídky s výkladem.
copy_link	Kopírovat odkaz
copy_link.h	Definuje klíč funkce pro kopírování odkazu vybrané entity.
maximize_trainer	Maximalizovat okno s obsahem
maximize_trainer.h	Definuje funkční klávesu pro maximalizaci okna s obsahem.
share_email	Sdílet e-mailem
share_email.h	Definuje funkční klávesu pro sdílení obsahu vybrané entity prostřednictvím e-mailu.
start_default	Spuštění výchozího obsahu
start_default.h	Definuje funkční klávesu pro spuštění výchozího režimu nebo vybraného dokumentu.
show_da_help	Zobrazit nápovědu desktopového asistenta
show_da_help.h	Definuje funkční klávesu pro otevření nápovědy desktopového asistenta.
request_content	Žádost o obsah
request_content.h	Definuje klíč funkce pro žádost o obsah pro stránku aplikace.
search_content	Hledání obsahu
search_content.h	Definuje funkční klávesu pro hledání obsahu v závislosti vybraném typu hledání.
show_hidden_elems	Zobrazit skryté prvky nápovědy
show_hidden_elems.h	Definuje funkční klávesu pro zobrazení skrytých prvků nápovědy.
toggle_side_bar	Zobrazit / skrýt postranní panel
toggle_side_bar.h	Definuje funkční klávesu pro zobrazení nebo skrytí postranního panelu.
content_library	Desktopový asistent – obsah a chování
content_library_window	Desktopový asistent - styl a okna
content_library_sidebar	Desktopový asistent – postranní panel
style	Styl
style.h	Definuje vzhled komponent desktopového asistenta (hlavní okno, okno s obsahem, stavová ikona). Vyberte zdroj stylu ze seznamu.
show_only_bar	Zobrazit postranní panel pouze při spuštění
show_only_bar.h	Definuje, zda se postranní panel zobrazí pouze při spuštění desktopového asistenta, nebo také v hlavním okně.
clear_on_mismatch	Vymazat seznam s obsahem při nevhodném kontextu
clear_on_mismatch.h	Definuje, že je seznam s obsahem vymazán, pokud není nalezen žádný kontext. Pokud je nastavení deaktivováno, zobrazí se obsah posledního rozpoznaného objektu.
da_positioning	Zarovnání hlavního okna
da_positioning.h	Definuje zarovnání hlavního okna na obrazovce. Možnost „Volně“ umožňuje definovat pozici v parametru „Pozice hlavního okna“.
bar_positioning	Zarovnání postranního panelu
bar_positioning.h	Definuje zarovnání postranního panelu obrazovky.
left_top	Levý horní roh
left_center	Vlevo na střed
left_bottom	Levý dolní roh
right_top	Pravý horní roh
right_center	Vpravo na střed
top_center	Nahoře uprostřed
right_bottom	Pravý dolní roh
center	Střed
free	Volně
list_order	Řazení obsahu
list_order.h	Definuje řazení dostupného obsahu v seznamu.
by_default	Struktura průzkumníka
by_name	Podle abecedy
by_type	Abecedně podle typu
library_position	Pozice hlavního okna (volně)
library_position.h	Určuje pozici hlavního okna (vlevo, nahoře) na obrazovce pro zarovnání Volně. Hodnoty jsou v pixelech.
search_url	Skupina hledání
search_url.h	Umožňuje definovat skupinu pracovní oblasti pro hledání obsahu v @{LIBRARY}.
enable_recording	Pozice: Ovládací prvek 'Záznam'
enable_recording.h	Umožňuje zobrazit ovládací prvek pro procesy záznamu. Můžete nastavit pozici ovládacího prvku v postranním panelu.\nOvládací prvek Záznam umožňuje uživateli zaznamenávat procesy jako dokumenty Microsoft Word nebo jako videa. Zaznamenané soubory se zobrazí v hlavním okně záložky Oblast uživatele.
enable_exit_da	Pozice: ovládací prvek Konec
enable_exit_da.h	Umožňuje zobrazit ovládací prvek pro ukončení @{NAVIGATOR}. Pozici ovládacího prvku můžete upravit v postranním panelu.
enable_info	Zobrazit informační záložku
enable_info.h	Povoluje informační záložku pro hlavní okno desktopového asistenta. Vložte informační text do krátkého popisu skupiny desktopového asistenta.
request_content_type	Typ žádosti o obsah
