NAVIGATOR	Desktop Assistant
XRAY	Web Assistant
LIBRARY	library
MANAGER	Manager
form_bubble	Burbuja de formulario
bform_height	Altura
bform_height.h	Define la altura de la burbuja de formulario que se visualizará en píxeles
bform_width	Ancho
bform_width.h	Define el ancho de la burbuja de formulario que se visuazará en píxeles
bform_position	Posición
bform_position.h	Define la posición de la burbuja del formulario (izquierda, arriba) para su alineación libre en la pantalla. Estos valores se indican en píxeles
paramAutoMergeComplete	Se ha completado la fusión de pantallas
form	Formulario
application_contexts	Aplicación
﻿Application	Aplicación
highlight_offset	Offset
AutoBarChooseApp	Seleccionar aplicación
AutoBarReRecManual	Haga clic sobre objeto
BubbleOnActivate	Mostrar directamente la burbuja
ClickOnAAPosition	Haga clic en la aplicación para definir el rectángulo
ClickOnPosition	Haga clic en una posición de la aplicación
EnabledOnPgLoad	Activar
HighlightOnActivate	Mostrar directamente la marca
start_from_arbitrary	Inicio a partir del paso arbitrario
focus_step	Capa de foco
focus_step.h	Solo visita guiada\nMuestra una capa gris para marcar el control requerido del paso actual.
yes	Sí
no	No
light_mode	Modo Interactivo
light_mode.h	Indica que el usuario debe navegar en la burbuja del objeto al paso siguiente. No se realiza reconocimiento de página durante la reproducción.
restricted_mode	Modo restringido
restricted_mode.h	Especifica que solo se podrá ejecutar la acción actual. Los demás controles de la página de aplicación se bloquean. \nLa parametrización se puede utilizar si se ha activado "Capa de foco".
show_highlight	Marcaciones
action	Acción
active_area	Campo activo
add_application_expl	Insertar explicación
adv	Avanzado
display_behavior	Comportamiento de visualización
all_values	Todos los valores
anim_steps	Pasos de animación
application_context	Aplicación
area	Campo
auto_merge	Fusionar macros de pantalla
b_height	Altura
form_on	Modo de formulario
b_percent	Burbuja visible (%)
b_hide_option	Opción ocultar
b_minimizable	Se puede minimizar
b_closable	Cierre posible
b_minimized	Minimizado
b_width	Ancho
b_width.h	Define el ancho de la burbuja de objeto en píxeles
bmain_minimizable	Se puede minimizar
bmain_position	Posición
bmain_win_style	Estilo
bmain_size	Tamaño
bmain_alignment	Alineación
bubble	Burbuja de objeto
bubble_offset	Offset
bubblestyle_d	Estilo
bubblestyle_init	Estilo de la burbuja
choose_appl_template	Seleccionar perfil de aplicación
choose_bool	Valor seleccionado
choose_nr	Índice seleccionado
choose_text	Valor seleccionado
target_static_text	se graba como "Identificador de página"
target_spec_warning	Advertencia: No existe ninguna información de regrabación para este control
prev_step	Paso anterior del proceso
next_step	Siguiente paso del proceso
click	Acción de ratón
click_pos	Posición de clic
click_pos_rel	Posición de burbuja
config_file	Perfil
define_target	Pantalla
display	Tratar burbuja principal
display_name	Nombre para mostrar
drag	Arrastrar
drop	Soltar
dump_page	Captura de pantalla
elem_bubble	Burbuja de objeto
element_type	Cl.objeto
enabled	Activados
optional	Opcional
enter	Entrada de ratón
executable	Aplicación
explanation_d	Texto
explanation_d_modified	Traducir manualmente
explanation_long	Explicación
fh_mouseover	Ayuda con MouseOver
fh_onelem	Símbolo
fh_tooltip	Quick info
fh_bubble	Burbuja
step_list	Lista del paso
fieldicon	Imagen de objeto
fieldname	Nombre de objeto
find	Búsqueda
AutoBarChooseScn	Haga clic en la pantalla correspondiente
frame	Marco
g_highlight_bgr	Color
g_highlight_border	Borde
g_highlight_effect	Efecto
global	General
hide_on_focuslost	Suprimir en caso de pérdida de enfoque
hilight	Marcar
input_radio	Casilla de selección
input_text	Texto de entrada
init	Inic.
key	Clave
key_desc	Nombre de clave
key_name	Código de tecla
key_press	Pulsación de tecla
lclick	Clic en el botón izquierdo del ratón
ldblclick	Doble clic en el botón izquierdo del ratón
force_display	Forzar visualización
auto_execute	Ejecutar automáticamente
show_confirmation	Mostrar el pulsador de confirmación
show_confirmation.h	Define si se muestra un pulsador de confirmación en la burbuja del objeto durante la reproducción. El pulsador permite al usuario confirmar una acción ejecutada y, a continuación, se muestra el siguiente paso.
link_to_sim	Insertar enlace de simulación
macro_comment	Comentario
main_bubble	Ventana
match_value	Comparar valor
mini_on_focuslost	Minimizar en caso de pérdida de enfoque
enable_tincan	@{NAVIGATOR} seguimiento
nav_check_freq	Frecuencia de actualización (min)
navigation	Asistente de escritorio
new_screen_context	Nueva pantalla
no_spike	Sin punta
pa_caption	Visita guiada
none	Ninguno
objname	Nombre de objeto
orientation	Orientación
path	Ruta de objeto
position	Posición
rclick	Clic en el botón derecho del ratón
rdblclick	Doble clic en el botón derecho del ratón
record_activearea	Grabar campo activo
record_application_context	Grabar aplicación
no_control	No existe ningún objeto disponible en la posición marcada
record_control	Grabar objeto
record_control_pa	Grabar paso de visita guiada
record_define_target	Grabar pantalla
record_display	Tratar burbuja principal
record_end_display	Tratar burbuja
record_explanation	Añadir explicación
record_object_context	Grabar objeto
record_screen_context	Grabar pantalla
record_target_specializer	Grabar identificador de página
record_compatible_application	Añadir aplicación compatible
reference	Fuente
regexp	Expresión regular
replace	Sustituir
replace_continue	Sustituir y siguiente...
replace_pgkey_attr	Reemplazar atributos de clave de página
error_regexp	No válido de expresiones regulares. Corrige a tu entrada.
resize	Ajustar tamaño de la ventana
revision	Revisión
sc_config_header	Información de perfil
screen	Pantalla
screenhelp	Ayuda de pantalla
screenshot_rect	Captura de pantalla, posición / tamaño
select_single	Selección simple
selected_merge	Fusionar macros de pantalla seleccionadas
show_bubble	Mostrar directamente
show_hilight	Mostrar marcación
show_on_focus	Mostrar al establecer el foco
source	Fuente
start_unit	Estilo de ayuda de contexto
subkey	Permitido como elemento de clave
script	Script
target_name	Título
target_specializer	Identificador de página
text_d	Texto de entrada
text_d_specializer	Texto de entrada
tolerance	Fusionar tolerancia de macros de pantalla
translate	Traducción automática
autoTranslate	Traducir proyecto
paramReRecordLanguage	Idioma
merge_critical_macros	Fusionar macros automáticamente
merge_critical_macros.h	Si convierte simulaciones en navegaciones, puede combinar automáticamente las pantallas creadas de esta manera. Estas se agrupan mediante el valor de tolerancia determinado en el parámetro 'Tolerancia para agrupar macros de pantalla'.
uid	UID
underline	Subrayado
update_control	Actualizar objeto
update_target	Actualizar pantalla
variant	Variante
win_rect	Tamaño de ventana
wizCancel	Cancelar
wizFinish	Salir
wizNext	Siguiente
wizOk	OK
wizExplanation	Explicación
wizContinue	Continuar
app_info	Mostrar aplicación
app_link_to_sim	Insertar vínculo de simulación para la aplicación
screen_info	Visualizar pantalla
screen_link_to_sim	Insertar vínculo de simulación para pantalla
object_info	Visualizar variante
object_link_to_sim	Insertar enlace de simulación
disabled	Desactivados
record_context_assistant_include	Incluir @{NAVIGATOR} proyecto
project_id	Título proyecto
project_id.h	El parámetro contiene el proyecto insertado. El botón Tratar enlace le permite seleccionar el proyecto en el área de trabajo
project	Proyecto
context_assistant_include	Proyecto de asistente de escritorio
open_expanded	Mostrar la burbuja principal ampliada
restart_option	Pulsador de repetición
next_project_id	Siguiente proyecto
next_project_id.h	Esta opción define un proyecto que se iniciará una vez concluido el proceso actual. El nuevo proceso se iniciará directamente y no se mostrará ninguna burbuja final.
end_unit	Fin de la visita
add_end_unit	Añadir fin de proceso
demo	Modo demo
uebung	Modo de ejercicio
praxis	Modo práctico
test	Modo de prueba
doc	Documento Word
pdf	Documento PDF
html	Documento HTML
ppt	Documento de PowerPoint
explanation_type	Símbolo
note	Nota
info	Información
tipp	Consejo
warnung	Advertencia
no_image	Ningún símbolo
display_on	Activar burbuja principal en
nav_start	Iniciar la navegación
app_focus	Enfoque de aplicación
screen_focus	Enfoque de pantalla
never	No mostrar
list_type	Tipo de lista para pantalla
list_type.h	Este parámetro determina el tipo de listado para los objetos en la pantalla, si la opción 'Visualizar toda la información de objeto' está habilitada para ello.
unordered_list	Signo de enumeración
ordered_list	Numeración
convert_sn	Generar asistente de escritorio
Application	Aplicación
obj_context	Objeto
expl_context	Explicación
record_cntrl_type	Tipo
disable_standby	Activar estado Modo de espera (@{NAVIGATOR})
disable_standby.h	Define que el estado de modo de espera del @{NAVIGATOR} no se puede fijar. Si está opción está desactivada, se puede fijar el estado de modo de espera con el acceso rápido 'CTRL + F11' o haciendo clic en el símbolo de estado.
disable_exit	Ocultar entrada Finalizar (@{NAVIGATOR})
disable_exit.h	Especifica que la entrada 'Finalizar' se oculta en el menú contextual del icono de status del @{NAVIGATOR}.
bcontent_style	Estilo de la burbuja
bcontent_style.h	Con este ajuste se define el tipo de burbuja que se debe utilizar para la visualización de la burbuja
cache_properties	Caché
cache_folder	Ubicación de la carpeta
cache_folder.h	Define la ubicación de la carpeta de caché "NavigatorCache". La ubicación por defecto es "%localappdata%". Puede indicar una ubicación personalizada. \nNota: el nombre de la carpeta caché no se puede modificar.
use_caching	Utilizar gestión de caché
use_caching.h	Activa la utilización del caché @{NAVIGATOR}.
function_keys	Claves de función
minimize_da	Minimizar
minimize_da.h	Define una clave de función para minimizar la ventana principal
next_tab	Seleccionar siguiente etiqueta
next_tab.h	Define una clave de función para seleccionar la siguiente etiqueta en la ventana principal
next_screen	Ir a Pantalla siguiente
next_screen.h	Define una clave de función para navegar a la imagen siguiente para un proyecto seleccionado
back	Retroceda
back.h	Define una clave de función para ir a la imagen anterior
toggle_standby	Cambiar modo en espera
toggle_standby.h	Define una clave de función para cambiar el modo en espera
abort	Cancelar
abort.h	Define una clave de función para cancelar el asistente de escritorio
restart	Reiniciar
restart.h	Define una clave de función para reiniciar el asistente de escritorio
start_pa	Iniciar proyecto de asistente de escritorio
start_pa.h	Define una clave de función para iniciar el proyecto seleccionado
start_demo	Iniciar modo de demostración
start_demo.h	Define una clave de función para iniciar el modo de demostración seleccionado
start_prac	Iniciar modo de práctica
start_prac.h	Define una clave de función para iniciar el modo de práctica seleccionado
start_test	Iniciar modo de test
start_test.h	Define una clave de función para iniciar el modo de test seleccionado
start_concur	Iniciar modo simultáneo
start_concur.h	Define una clave de función para iniciar el modo simultáneo seleccionado
start_book	Iniciar libro
start_book.h	Define una clave de función para iniciar un libro seleccionado
start_group	Abrir en library
start_group.h	Define una clave de función para abrir un grupo en la library
toggle_ctx_rec	Cambiar reconocimiento de contexto
toggle_ctx_rec.h	Define una clave de función para cambiar el reconocimiento de contexto del asistente de escritorio
select_next	Seleccionar entrada siguiente
select_next.h	Define una clave de función para seleccionar la entrada siguiente en la ventana actual
select_prev	Seleccionar entrada previa
select_prev.h	Define una clave de función para seleccionar la entrada anterior en la ventana actual
toggle_warning	Mostrar cuadro de diálogo de advertencia
toggle_warning.h	Define una clave de función para mostrar el cuadro de diálogo de advertencia del asistente de escritorio
execute_step	Ejecutar paso
execute_step.h	Define una clave de función para ejecutar un paso durante la reproducción de la visita guiada
copy_link	Copiar enlace
copy_link.h	Define una clave de función para copiar el enlace de la entidad seleccionada
maximize_trainer	Maximizar ventana de contenido
maximize_trainer.h	Define una clave de función para maximizar la ventana de contenido.
share_email	Compartir vía e-mail
share_email.h	Define una clave de función para compartir el contenido de la entidad seleccionada vía e-mail
start_default	Iniciar contenido por defecto
start_default.h	Define una clave de función para iniciar el modo por defecto o el documento seleccionado
show_da_help	Mostrar ayuda de asistente de escritorio
show_da_help.h	Define una clave de función para abrir la ayuda de asistente de escritorio
request_content	Solicitar contenido
request_content.h	Define una clave de función para solicitar contenido para una página de aplicación
search_content	Buscar contenido
search_content.h	Define una clave de función para buscar contenido dependiendo del tipo de búsqueda seleccionado
show_hidden_elems	Mostrar elementos de ayuda ocultos
show_hidden_elems.h	Define una clave de función para mostrar elementos auxiliares suprimidos
toggle_side_bar	Visualizar/suprimir barra lateral
toggle_side_bar.h	Define una clave de función para visualizar y suprimir la barra lateral
content_library	Asistente de escritorio - Controles y comportamiento
content_library_window	Asistente de escritorio - Estilo y ventanas
content_library_sidebar	Asistente de escritorio - Barra lateral
style	Estilo
style.h	Define la apariencia de los componentes del asistente de escritorio (ventana principal, ventana de contenido, icono de estado). Seleccione un recurso de estilo de la lista.
show_only_bar	Mostrar solo barra lateral en inicio
show_only_bar.h	Define si solo se mostrará la barra lateral en el inicio del asistente de escritorio o también la ventana principal
clear_on_mismatch	Anular lista de contenido en inconsistencia de contexto
clear_on_mismatch.h	Define que la lista de contenido se anula si no existe contexto. Si se desactiva la parametrización se mostrará el contenido del último objeto reconocido.
da_positioning	Alineación de la ventana principal
da_positioning.h	Define la alineación de la ventana principal en la pantalla. La opción 'Libre' permite definir una posición en el parámetro 'Posición de ventana principal'.
bar_positioning	Alineación de barra lateral
bar_positioning.h	Define la alineación de la barra lateral en la pantalla
left_top	Esquina superior izquierda
left_center	Centro izquierda
left_bottom	Esquina inferior izquierda
right_top	Esquina superior derecha
right_center	Centro derecha
top_center	Centro superior
right_bottom	Esquina inferior derecha
center	Centro
free	Libre
list_order	Clasificación de contenidos
list_order.h	Define la clasificación del contenido disponible en la lista
by_default	Estructura del explorador
by_name	Alfabéticos
by_type	Alfabéticos por tipo
library_position	Posición de la ventana principal (libre)
library_position.h	Define la posición de la ventana principal (izquierda, arriba) para la alineación libre en la pantalla. Los valores se indican en píxeles
search_url	Buscar grupo
search_url.h	Le permite especificar un grupo de áreas de trabajo para buscar el contenido en @{LIBRARY}.
enable_recording	Posición: Control “Grabación”
enable_recording.h	Permite mostrar un control para procesos de grabación. Puede indicar la posición del control en la barra lateral. \nLa grabación permite al usuario grabar procesos como documentos de Microsoft Word.o como vídeos. Los archivos grabados se muestran en la pantalla principal en la etiqueta “Área de usuario”.
enable_exit_da	Posición: Control “Salir”
enable_exit_da.h	Permite visualizar un control para salir de @{NAVIGATOR}. Puede especificar la posición del control en la barra lateral.
enable_info	Mostrar etiqueta Info
enable_info.h	Activa la etiqueta 'Info' para la ventana principal del asistente de escritorio. Insertar un texto info en la descripción breve del grupo de asistentes de escritorio.
request_content_type	Solicitar tipo de contenido
request_content_type.h	Especifica la funcionalidad para solicitar contenido. Seleccione un tipo de la lista desplegable. \nCorreo electrónico: le permite indicar una dirección de correo electrónico para las solicitudes. \nURL: le permite indicar un URL para abrir una página web. \nSe muestra el control “Solicitar contenido” en la barra lateral. Si no existe contenido, el enlace "Solicitar contenido" se mostrará en la ventana principal.
email	Correo electrónico
url	URL
enable_request_content	Posición: Control “Solicitar contenido”
enable_request_content.h	Indica la posición del control “Solicitar contenido” en la barra lateral.
enable_external_search_ctx	Proporcionar información de contexto
enable_external_search_ctx.h	Proporciona información de contexto adicional del usuario con el URL de búsqueda durante la búsqueda. La información de contexto se utilizará para la búsqueda. Active las parametrizaciones si su búsqueda indicada puede utilizar la información de contexto. \nLa información de contexto proporcionada se especifica en el parámetro “Información de contexto”.
external_search_ctx	Información de contexto
external_search_ctx.h	Indica la información de contexto si se ha activado la parametrización “Proporcionar información de contexto”. Puede proporcionarse la siguiente información de contexto: EXE de la aplicación actual (&executable=$#{EXE}), clave de página de la aplicación actual (&pagekey=$#{PAGEKEY})\nNota: no modifique la estructura del string de información de contexto.
