NAVIGATOR	Desktop Assistant
XRAY	Web Assistant
LIBRARY	library
MANAGER	Manager
form_bubble	बबल फ़ॉर्म करें
bform_height	ऊंचाई
bform_height.h	फ़ॉर्म बबल की पिक्सेल में प्रदर्शित की जाने वाली ऊंचाई निर्धारित करता है.
bform_width	चौड़ाई
bform_width.h	फ़ॉर्म बबल की पिक्सेल में प्रदर्शित की जाने वाली चौड़ाई निर्धारित करता है.
bform_position	स्थिति
bform_position.h	स्क्रीन पर 'मुक्त' संरेखण के लिए फ़ॉर्म बबल की स्थिति (बाएं, ऊपर) निर्धारित करता है. मानों को पिक्सेल में दिया जाता है.
paramAutoMergeComplete	स्क्रीन मर्ज करना समाप्त हो गया है.
form	फ़ॉर्म
application_contexts	एप्लिकेशन
﻿Application	एप्लिकेशन
highlight_offset	ऑफ़सेट
AutoBarChooseApp	एप्लिकेशन चुनें
AutoBarReRecManual	ऑब्जेक्ट पर क्लिक करें
BubbleOnActivate	सीधे बबल दिखाएं
ClickOnAAPosition	आयत निर्धारित करने के लिए एप्लिकेशन में क्लिक करें.
ClickOnPosition	एप्लिकेशन में स्थिति पर क्लिक करें.
EnabledOnPgLoad	सक्रिय करें
HighlightOnActivate	सीधे हाइलाइट दिखाएं
start_from_arbitrary	एकपक्षीय चरण से प्रारंभ करें
focus_step	फ़ोकस लेयर
focus_step.h	केवल निर्देशित यात्रा\nवर्तमान चरण में आवश्यक नियंत्रण हाइलाइट करने के लिए धूसर रंग की परत प्रदर्शित करता है.
yes	हां
no	नहीं
light_mode	सहभागी मोड
light_mode.h	यह निर्दिष्ट करता है कि उपयोगकर्ता को अगले चरण में जाने के लिए ऑब्जेक्ट बबल में नेविगेट करना है. प्लेबैक के दौरान कोई पृष्ठ पहचान पूर्ण नहीं किया जाता है.
restricted_mode	प्रतिबंधित मोड
restricted_mode.h	केवल वर्तमान कार्रवाई निष्पादित की जा सकती है, यह निर्धारित करता है. एप्लिकेशन पृष्ठ के अन्य नियंत्रण ब्लॉक किए जाएंगे. \nयदि 'फ़ोकस लेयर सक्रिय हो, तो सेटिंग का उपयोग किया जा सकता है.
show_highlight	हाइलाइट
action	कार्रवाई
active_area	सक्रिय क्षेत्र
add_application_expl	व्याख्या सम्मिलित करें
adv	उन्नत
display_behavior	प्रदर्शन व्यवहार
all_values	सभी मान
anim_steps	एनिमेशन चरण
application_context	एप्लिकेशन
area	क्षेत्र
auto_merge	स्क्रीन मैक्रो मर्ज करें
b_height	ऊंचाई
form_on	फ़ॉर्म मोड
b_percent	बबल दृश्यमान (%)
b_hide_option	विकल्प छिपाएं
b_minimizable	छोटा करने योग्य
b_closable	बंद होने योग्य
b_minimized	छोटा किया गया
b_width	चौड़ाई
b_width.h	यह ऑब्जेक्ट बबल की चौड़ाई पिक्सेल में निर्धारित करता है.
bmain_minimizable	छोटा करने योग्य
bmain_position	स्थिति
bmain_win_style	शैली
bmain_size	आकार
bmain_alignment	संरेखण
bubble	ऑब्जेक्ट बबल
bubble_offset	ऑफ़सेट
bubblestyle_d	शैली
bubblestyle_init	बबल शैली
choose_appl_template	एप्लिकेशन प्रोफ़ाइल चुनें
choose_bool	चयनित मान
choose_nr	चयनित अनुक्रमणिका
choose_text	चयनित मान
target_static_text	'पृष्ठ विनिर्देशक' के रूप में रिकॉर्ड किया गया है.
target_spec_warning	चेतावनी: इस नियंत्रण के लिए कोई पुनः रिकॉर्डिंग जानकारी उपलब्ध नहीं.
prev_step	पिछला चरण
next_step	अगला चरण
click	माउस क्रिया
click_pos	स्थिति क्लिक करें
click_pos_rel	बबल स्थिति
config_file	एप्लिकेशन प्रोफ़ाइल
define_target	स्क्रीन
display	मुख्य बबल संपादित करें
display_name	नाम प्रदर्शित करें
drag	खींचें
drop	छोड़ें
dump_page	स्क्रीनशॉट
elem_bubble	ऑब्जेक्ट बबल
element_type	ऑब्जेक्ट प्रकार
enabled	सक्षम
optional	वैकल्पिक
enter	माउस दर्ज
executable	एप्लिकेशन
explanation_d	टेक्स्ट
explanation_d_modified	मैन्युअली अनुवाद करें
explanation_long	व्याख्या
fh_mouseover	माउस-ओवर पर सहायता
fh_onelem	आइकन
fh_tooltip	टूलटिप
fh_bubble	बबल
step_list	चरण सूची
fieldicon	ऑब्जेक्ट छवि
fieldname	ऑब्जेक्ट नाम
find	ढूंढें
AutoBarChooseScn	संबंधित स्क्रीन पर क्लिक करें
frame	फ़्रेम
g_highlight_bgr	रंग
g_highlight_border	सीमा
g_highlight_effect	प्रभाव
global	वैश्विक
hide_on_focuslost	फ़ोकस खोने पर छिपाएं
hilight	हाइलाइट
input_radio	रेडियो/चेकबॉक्स
input_text	इनपुट टेक्स्ट
init	आरंभ
key	कुंजी
key_desc	हॉटकी
key_name	कुंजी कोड
key_press	कुंजी दबाना
lclick	बायां क्लिक
ldblclick	बायां डबल क्लिक
force_display	बल प्रदर्शन
auto_execute	स्वतः निष्पादन
show_confirmation	पुष्टि बटन दिखाएं
show_confirmation.h	यह निर्धारित करता है कि क्या प्लेबैक के दौरान ऑब्जेक्ट बबल में पुष्टीकरण बटन दिखाया गया है. यह बटन उपयोगकर्ता को निष्पादित कार्रावाई की पुष्टि करने की अनुमति देता है और इसके बाद अगला चरण दिखाता है.
link_to_sim	अनुरूपण लिंक सम्मिलित करें
macro_comment	टिप्पणी
main_bubble	विंडो
match_value	मिलान मान
mini_on_focuslost	फ़ोकस खोने पर न्यूनतम करें
enable_tincan	@{NAVIGATOR} ट्रैक करें
nav_check_freq	अपडेट आवृत्ति (मिनट)
navigation	डेस्कटॉप सहायक
new_screen_context	नई स्क्रीन
no_spike	कोई स्पाइक नहीं
pa_caption	निर्देशित यात्रा
none	कोई नहीं
objname	ऑब्जेक्ट नाम
orientation	अभिविन्यास
path	ऑब्जेक्ट पथ
position	स्थिति
rclick	दायां माउस क्लिक
rdblclick	दायां डबल क्लिक
record_activearea	सक्रिय क्षेत्र रिकॉर्ड करें
record_application_context	एप्लिकेशन रिकॉर्ड करें
no_control	क्लिक की स्थिति पर कोई ऑब्जेक्ट उपलब्ध नहीं.
record_control	ऑब्जेक्ट रिकॉर्ड करें
record_control_pa	मार्गदर्शित भ्रमण चरण रिकॉर्ड करें
record_define_target	स्क्रीन रिकॉर्ड करें
record_display	मुख्य बबल संपादित करें
record_end_display	बबल संपादित करें
record_explanation	व्याख्या जोड़ें
record_object_context	ऑब्जेक्ट रिकॉर्ड करें
record_screen_context	स्क्रीन रिकॉर्ड करें
record_target_specializer	पृष्ठ विनिर्देशक रिकॉर्ड करें
record_compatible_application	संगत एप्लिकेशन रिकॉर्ड करें
reference	स्रोत
regexp	नियमित अभिव्यक्ति
replace	प्रतिस्थापित करें
replace_continue	प्रतिस्थापित करें और जारी रखें...
replace_pgkey_attr	पृष्ठ कुंजी विशेषताएं प्रतिस्थापित करें
error_regexp	अमान्य नियमित अभिव्यक्ति. अपना इनपुट ठीक करें.
resize	विंडो का आकार बदलें
revision	पुनरीक्षण
sc_config_header	प्रोफ़ाइल जानकारी
screen	स्क्रीन
screenhelp	स्क्रीन सहायता
screenshot_rect	स्क्रीनशॉट स्थिति
select_single	एकल चयनित करें
selected_merge	चयनित स्क्रीन मैक्रो मर्ज करें
show_bubble	सीधे दिखाएं
show_hilight	हाइलाइट दिखाएं
show_on_focus	फ़ोकस पर दिखाएं
source	स्रोत
start_unit	प्रसंग सहायक शैली
subkey	उप-कुंजी के रूप में अनुमत
script	स्क्रिप्ट
target_name	शीर्षक
target_specializer	पृष्ठ विनिर्देशक
text_d	इनपुट टेक्स्ट
text_d_specializer	इनपुट टेक्स्ट
tolerance	स्क्रीन मैक्रो टॉलरेंस मर्ज करें
translate	स्वचालित अनुवाद
autoTranslate	प्रोजेक्ट का अनुवाद करें
paramReRecordLanguage	भाषा
merge_critical_macros	स्वचालित रूप से मैक्रो मर्ज करें
merge_critical_macros.h	अगर आप नेविगेशन में अनुरूपण रूपांतरित कर रहे हैं, तो आप इस प्रकार निर्मित पृष्ठ प्रसंगों को स्वचालित रूप से मर्ज कर सकते हैं. इन्हें 'स्क्रीन प्रसंग मैक्रो टॉलरेंस मर्ज करें' पैरामीटर में निर्धारित टॉलरेंस मान का उपयोग करके संयोजित किया गया है.
uid	UID
underline	रेखांकन
update_control	ऑब्जेक्ट अपडेट करें
update_target	स्क्रीन अपडेट करें
variant	भिन्नरूप
win_rect	विंडो आकार
wizCancel	रद्द करें
wizFinish	समाप्त करें
wizNext	अगला
wizOk	ठीक
wizExplanation	व्याख्या
wizContinue	जारी रखें
app_info	एप्लिकेशन दिखाएं
app_link_to_sim	एप्लिकेशन के लिए अनुरूपण लिंक सम्मिलित करें
screen_info	स्क्रीन दिखाएं
screen_link_to_sim	स्क्रीन के लिए अनुरूपण लिंक सम्मिलित करें
object_info	प्रदर्शन भिन्नरूप
object_link_to_sim	अनुरूपण लिंक सम्मिलित करें
disabled	अक्षम
record_context_assistant_include	@{NAVIGATOR} प्रोजेक्ट शामिल करें
project_id	प्रोजेक्ट शीर्षक
project_id.h	पैरामीटर में सम्मिलित प्रोजेक्ट है. 'लिंक संपादित करें' बटन से आप कार्य-क्षेत्र में प्रोजेक्ट का चयन कर सकते हैं.
project	प्रोजेक्ट
context_assistant_include	डेस्कटॉप सहायक प्रोजेक्ट
open_expanded	उन्नत मुख्य बबल प्रदर्शित करें
restart_option	पुनर्प्रारंभ बटन
next_project_id	अगला प्रोजेक्ट
next_project_id.h	यह विकल्प वह प्रोजेक्ट निर्धारित करता है, जो वर्तमान प्रोसेस की पूर्णता के बाद प्रारंभ किया जाएगा. नेविगेशन सीधे प्रारंभ हो जाएगा और कोई समाप्ति बबल प्रदर्शित नहीं होगा.
end_unit	भ्रमण समाप्ति
add_end_unit	प्रोसेस समाप्ति जोड़ें
demo	डेमो मोड
uebung	अभ्यास मोड
praxis	समवर्ती मोड
test	परिक्षा मोड
doc	Word दस्तावेज़
pdf	PDF दस्तावेज़
html	HTML दस्तावेज़
ppt	PowerPoint दस्तावेज़
explanation_type	आइकन
note	नोट
info	सूचना
tipp	युक्ति
warnung	चेतावनी
no_image	कोई आइकन नहीं
display_on	इस पर मुख्य बबल प्रदर्शित करें
nav_start	नेविगेशन प्रारंभ
app_focus	एप्लिकेशन फ़ोकस
screen_focus	स्क्रीन फ़ोकस
never	न दिखाएं
list_type	स्क्रीन के लिए सूची प्रकार
list_type.h	इस पैरामीटर के लिए 'सभी ऑब्जेक्ट जानकारी प्रदर्शित करें' विकल्प सक्षम होने पर, यह पैरामीटर स्क्रीन प्रसंग में ऑब्जेक्ट के सूचीकरण के लिए प्रकार निर्धारित करता है.
unordered_list	बुलेट
ordered_list	संख्यांकन
convert_sn	डेस्कटॉप सहायक जनरेट करें
Application	एप्लिकेशन
obj_context	ऑब्जेक्ट
expl_context	व्याख्या
record_cntrl_type	प्रकार
disable_standby	स्टैंडबाई स्थिति अक्षम करें (@{NAVIGATOR})
disable_standby.h	निर्धारित करता है कि @{NAVIGATOR} की स्टैंडबाई स्थिति सेट नहीं की जा सकती है. यदि यह विकल्प निष्क्रिय है, तो आप शॉर्टकट 'CTRL + F11' से या स्थिति आइकन पर क्लिक करके स्टैंडबाई स्थिति सेट कर सकते हैं.
disable_exit	निकास प्रविष्टि छिपाएं (@{NAVIGATOR})
disable_exit.h	निर्धारित करता है कि @{NAVIGATOR} के स्थिति आइकन के पॉपअप मेनू में 'निकास' प्रविष्टि छिपी हुई है.
bcontent_style	बबल शैली
bcontent_style.h	यह सेटिंग निर्धारित करती है कि बबल प्रदर्शित करने के लिए किस बबल शैली का उपयोग किया जाए.
cache_properties	कैश
cache_folder	फोल्डर स्थान
cache_folder.h	संचय फोल्डर ‘NavigatorCache’ का स्थान निर्धारित करता है. डिफॉल्ट स्थान '%localappdata%'. है: आप अनुकूलन स्थान दर्ज कर सकते हैं.\nनोट: संचय फोल्डर का नाम बदला नही जा सकता.
use_caching	संचयन का उपयोग करें
use_caching.h	संचय @{NAVIGATOR} का उपयोग सक्रिय करें.
function_keys	फ़ंक्शन कुंजियां
minimize_da	छोटा करें
minimize_da.h	मुख्य विंडो को छोटा करने के लिए फ़ंक्शन कुंजी निर्धारित करता है.
next_tab	अगले टैब का चयन करें
next_tab.h	मुख्य विंडो में अगले टैब का चयन करने के लिए फ़ंक्शन कुंजी को निर्धारित करता है.
next_screen	अगली स्क्रीन पर जाएं
next_screen.h	चयनित प्रोजेक्ट हेतु अगली स्क्रीन पर नेविगेट करने के लिए फ़ंक्शन कुंजी निर्धारित करता है.
back	वापस जाएं
back.h	पिछले स्क्रीन पर जाने के लिए फ़ंक्शन कुंजी निर्धारित करता है.
toggle_standby	स्टैंडबाई मोड टॉगल करें
toggle_standby.h	स्टैंडबाई मोड टॉगल करने के लिए फ़ंक्शन कुंजी को निर्धारित करता है.
abort	निरस्त करें
abort.h	डेस्कटॉप सहायता निरस्त करने के लिए फ़ंक्शन कुंजी निर्धारित करता है.
restart	पुनर्प्रारंभ करें
restart.h	डेस्कटॉप सहायक पुनर्प्रारंभ करने के लिए फ़ंक्शन कुंजी को निर्धारित करता है.
start_pa	डेस्कटॉप सहायक प्रोजेक्ट प्रारंभ करें
start_pa.h	चयनित प्रोजेक्ट प्रारंभ करने के लिए फ़ंक्शन कुंजी को निर्धारित करता है.
start_demo	डेमो मोड प्रारंभ करें
start_demo.h	चयनित डेमो मोड प्रारंभ करने के लिए किसी फ़ंक्शन कुंजी को निर्धारित करता है.
start_prac	अभ्यास मोड प्रारंभ करें
start_prac.h	चयनित अभ्यास मोड के लिए फ़ंक्शन कुंजी को निर्धारित करता है
start_test	परीक्षण मोड प्रारंभ करें
start_test.h	चयनित प्रशिक्षण मोड प्रारंभ करने के लिए किसी फ़ंक्शन कुंजी को निर्धारित करता है.
start_concur	समवर्ती मोड प्रारंभ करें
start_concur.h	चयनित समवर्ती मोड प्रारंभ करने के लिए किसी फ़ंक्शन कुंजी को निर्धारित करता है
start_book	पुस्तक प्रारंभ करें
start_book.h	चयनित पुस्तक प्रारंभ करने के लिए फ़ंक्शन कुंजी को निर्धारित करता है.
start_group	लाइब्रेरी में खोलें
start_group.h	लाइब्रेरी में समूह खोलने हेतु फ़ंक्शन कुंजी निर्धारित करता है.
toggle_ctx_rec	प्रसंग पहचान टॉगल करें
toggle_ctx_rec.h	डेस्कटॉप सहायक की प्रसंग पहचान को टॉगल करने के लिए फ़ंक्शन कुंजी को निर्धारित करता है.
select_next	अगली प्रविष्टि का चयन करें
select_next.h	वर्तमान विंडो में अगली प्रविष्टि का चयन करने हेतु फ़ंक्शन कुंजी निर्धारित करता है.
select_prev	पिछली प्रविष्टि का चयन करें
