NAVIGATOR	Desktop Assistant
XRAY	Web Assistant
LIBRARY	library
MANAGER	Manager
form_bubble	Bolha de formulário
bform_height	Altura
bform_height.h	Define a altura da bolha de formulário a ser exibida em pixels.
bform_width	Largura
bform_width.h	Define a largura da bolha de formulário a ser exibida em pixels.
bform_position	Posição
bform_position.h	Define a posição da bolha do formulário (esquerda, superior) para o alinhamento 'Livre' na tela. Os valores são indicados em pixels.
paramAutoMergeComplete	A fusão de telas foi concluída.
form	Formulário
application_contexts	Utilização
﻿Application	Aplicação
highlight_offset	Offset
AutoBarChooseApp	Selecionar aplicação
AutoBarReRecManual	Clicar no objeto.
BubbleOnActivate	Mostrar bolha diretamente
ClickOnAAPosition	Clicar na aplicação para definir retângulo.
ClickOnPosition	Clicar em uma posição na aplicação.
EnabledOnPgLoad	Ativar
HighlightOnActivate	Mostrar marcação diretamente
start_from_arbitrary	Início a partir de etapa arbitrária
focus_step	Camada de foco
focus_step.h	Somente visita guiada\nExibe uma camada cinza para destacar o controle necessário na etapa atual.
yes	Sim
no	Não
light_mode	Modo interativo
light_mode.h	Indica que o usuário deve navegar na bolha do objeto até a próxima etapa. Nenhum reconhecimento da página é efetuado durante a reprodução.
restricted_mode	Modo restrito
restricted_mode.h	Indica que só a ação atual pode ser executada. Os outros controles da página de aplicação estão bloqueados. \nA configuração pode ser utilizada se a 'Camada de foco’ tiver sido ativada.
show_highlight	Marcações
action	Ação
active_area	Área Ativa
add_application_expl	Inserir explicação
adv	Avançado
display_behavior	Comportamento de exibição
all_values	Todos os valores
anim_steps	Etapas de animação
application_context	Utilização
area	Área
auto_merge	Fundir macros de tela
b_height	Altura
form_on	Modo de formulário
b_percent	Bolha visível (%)
b_hide_option	Opção Ocultar
b_minimizable	Minimizável
b_closable	Fechável
b_minimized	Minimizado
b_width	Largura
b_width.h	Define a largura da bolha do objeto em pixels.
bmain_minimizable	Minimizável
bmain_position	Posição
bmain_win_style	Estilo
bmain_size	Tamanho
bmain_alignment	Alinhamento
bubble	Bolha do objeto
bubble_offset	Offset
bubblestyle_d	Estilo
bubblestyle_init	Estilo de bolha
choose_appl_template	Selecionar perfil de aplicação
choose_bool	Valor selecionado
choose_nr	Índice selecionado
choose_text	Valor selecionado
target_static_text	está gravado como 'ID de página'.
target_spec_warning	Advertência: nenhuma informação de regravação disponível para este controle.
prev_step	Etapa anterior
next_step	Etapa seguinte
click	Ação do mouse
click_pos	Posição do clique
click_pos_rel	Posição da bolha
config_file	Perfil de aplicação
define_target	Tela
display	Editar bolha principal
display_name	Nome de exibição
drag	Arrastar
drop	Soltar
dump_page	Captura de tela
elem_bubble	Bolha do objeto
element_type	Tipo de objeto
enabled	Ativado
optional	Opcional
enter	Entrada do mouse
executable	Aplicação
explanation_d	Texto
explanation_d_modified	Traduzir manualmente
explanation_long	Explicação
fh_mouseover	Ajuda ao passar o mouse
fh_onelem	Ícone
fh_tooltip	Informação rápida
fh_bubble	Bolha
step_list	Lista de etapas
fieldicon	Imagem de objeto
fieldname	Nome do objeto
find	Procurar
AutoBarChooseScn	Clicar na respectiva tela
frame	Quadro
g_highlight_bgr	Cor
g_highlight_border	Margem
g_highlight_effect	Efeito
global	Global
hide_on_focuslost	Ocultar ao perder o foco
hilight	Marcação
input_radio	Botão de rádio/campo de seleção
input_text	Texto de entrada
init	Inicial
key	Tecla
key_desc	Tecla de atalho
key_name	Código de teclas
key_press	Pressionamento de tecla
lclick	Clique com o botão esquerdo do mouse
ldblclick	Clique duplo com o botão esquerdo do mouse
force_display	Forçar exibição
auto_execute	Execução automática
show_confirmation	Mostrar botão de confirmação
show_confirmation.h	Define se um botão de confirmação é exibido na bolha do objeto durante a reprodução. O botão permite que o usuário confirme uma ação executada e, em seguida, é exibida a etapa seguinte.
link_to_sim	Inserir link de simulação
macro_comment	Comentário
main_bubble	Janela
match_value	Valor de correspondência
mini_on_focuslost	Minimizar ao perder o foco
enable_tincan	Rastreamento de @{NAVIGATOR}
nav_check_freq	Frequência de atualização (mín.)
navigation	Assistente de desktop
new_screen_context	Nova tela
no_spike	Nenhuma ponta
pa_caption	Visita guiada
none	Nenhum
objname	Nome do objeto
orientation	Orientação
path	Caminho do objeto
position	Posição
rclick	Clique com o botão direito do mouse
rdblclick	Clique duplo com o botão direito do mouse
record_activearea	Gravar área ativa
record_application_context	Gravar aplicação
no_control	Nenhum objeto disponível na posição clicada.
record_control	Gravar objeto
record_control_pa	Gravar etapa da visita guiada
record_define_target	Gravar tela
record_display	Editar bolha principal
record_end_display	Editar bolha
record_explanation	Adicionar explicação
record_object_context	Gravar objeto
record_screen_context	Gravar tela
record_target_specializer	Gravar ID de página
record_compatible_application	Gravar aplicação compatível
reference	Fonte
regexp	Expressão regular
replace	Substituir
replace_continue	Substituir e continuar...
replace_pgkey_attr	Substituir atributos de chave de página
error_regexp	Expressão regular inválida. Corrija sua entrada.
resize	Redimensionar janela
revision	Revisão
sc_config_header	Informação de perfil
screen	Tela
screenhelp	Ajuda de tela
screenshot_rect	Posição da captura de tela
select_single	Seleção única
selected_merge	Fundir macros de tela selecionadas
show_bubble	Mostrar diretamente
show_hilight	Visualizar marcação
show_on_focus	Mostrar ao focalizar
source	Fonte
start_unit	Estilo da ajuda de contexto
subkey	Permitido como subchave
script	Script
target_name	Título
target_specializer	ID de página
text_d	Texto de entrada
text_d_specializer	Texto de entrada
tolerance	Fundir tolerância de macros de tela
translate	Tradução automática
autoTranslate	Traduzir projeto
paramReRecordLanguage	Idioma
merge_critical_macros	Fundir macros automaticamente
merge_critical_macros.h	Se você estiver convertendo simulações em navegações, pode fundir automaticamente as telas criadas desse modo. Estas são combinadas utilizando o valor de tolerância determinado no parâmetro 'Fundir tolerância de macros de tela'.
uid	UID
underline	Sublinha
update_control	Atualizar objeto
update_target	Atualizar tela
variant	Variante
win_rect	Tamanho da janela
wizCancel	Cancelar
wizFinish	Concluir
wizNext	Seguinte
wizOk	OK
wizExplanation	Explicação
wizContinue	Continuar
app_info	Exibir aplicação
app_link_to_sim	Inserir link de simulação para aplicação
screen_info	Exibir tela
screen_link_to_sim	Inserir link de simulação para tela
object_info	Exibir variante
object_link_to_sim	Inserir link de simulação
disabled	Desativado
record_context_assistant_include	Incluir projeto @{NAVIGATOR}
project_id	Título do projeto
project_id.h	O parâmetro contém o projeto inserido. O botão 'Editar link' permite que você selecione o projeto na área de trabalho.
project	Projeto
context_assistant_include	Projeto de assistente de desktop
open_expanded	Exibir bolha principal avançada
restart_option	Botão de reinício
next_project_id	Projeto seguinte
next_project_id.h	Esta opção define um projeto que será iniciado após a conclusão do processo atual. O processo novo começa diretamente e não será exibida nenhuma bolha final.
end_unit	Fim da visita
add_end_unit	Inserir fim do processo
demo	Modo de demonstração
uebung	Modo de exercício
praxis	Modo concorrente
test	Modo de teste
doc	Documento Word
pdf	Documento PDF
html	Documento HTML
ppt	Documento PowerPoint
explanation_type	Ícone
note	Nota
info	Informação
tipp	Dica
warnung	Aviso
no_image	Nenhum ícone
display_on	Exibir bolha principal em
nav_start	Início de navegação
app_focus	Focalização da aplicação
screen_focus	Focalização da tela
never	Não mostrar
list_type	Tipo de lista para tela
list_type.h	Este parâmetro determina o tipo para a listagem dos objetos na tela, se a opção 'Exibir todas as informações do objeto' estiver ativada para isto.
unordered_list	Marcadores
ordered_list	Numeração
convert_sn	Gerar assistente de desktop
Application	Aplicação
obj_context	Objeto
expl_context	Explicação
record_cntrl_type	Tipo
disable_standby	Desativar status de espera (@{NAVIGATOR})
disable_standby.h	Indica que o status de espera do @{NAVIGATOR} não pode ser definido. Se esta opção estiver desativada, você pode definir o status de espera com o atalho 'CTRL + F11' ou com um clique no ícone de status.
disable_exit	Ocultar entrada Exit (@{NAVIGATOR})
disable_exit.h	Indica que a entrada 'Exit' no menu de contexto do ícone de status de @{NAVIGATOR} está oculta.
bcontent_style	Estilo bolha
bcontent_style.h	Esta configuração define o estilo de bolha que deve ser utilizado para exibir a bolha.
cache_properties	Cache
cache_folder	Localização da pasta
cache_folder.h	Define a localização da pasta de cache 'NavigatorCache'. A localização padrão é '%localappdata%'. Você pode inserir uma localização personalizada. \nNota: o nome da pasta de cache não pode ser modificado.
use_caching	Utilizar administração de cache
use_caching.h	Ativa a utilização do cache @{NAVIGATOR}.
function_keys	Chaves de função
minimize_da	Minimizar
minimize_da.h	Define uma chave de função para minimizar a janela principal.
next_tab	Selecionar ficha seguinte
next_tab.h	Define a chave de função para selecionar a ficha seguinte na janela principal.
next_screen	Ir para tela seguinte
next_screen.h	Define uma chave de função para navegar para a tela seguinte para um projeto selecionado.
back	Voltar
back.h	Define uma chave de função para ir para a tela anterior.
toggle_standby	Comutar modo de espera
toggle_standby.h	Define uma chave de função para comutar o modo de espera.
abort	Cancelar
abort.h	Define uma chave de função para cancelar o assistente de desktop.
restart	Reiniciar
restart.h	Define uma chave de função para reiniciar o assistente de desktop.
start_pa	Iniciar projeto do assistente de desktop
start_pa.h	Define uma chave de função para iniciar um projeto selecionado.
start_demo	Iniciar modo de demonstração
start_demo.h	Define uma chave de função para iniciar um modo de demonstração selecionado.
start_prac	Iniciar modo de exercício
start_prac.h	Define uma chave de função para iniciar um modo de exercício selecionado.
start_test	Iniciar modo de teste
start_test.h	Define a chave de função para iniciar um modo de teste selecionado.
start_concur	Iniciar modo concorrente
start_concur.h	Define uma chave de função para iniciar um modo concorrente selecionado.
start_book	Iniciar livro
start_book.h	Define uma chave de função para iniciar um livro selecionado.
start_group	Abrir em library
start_group.h	Define uma chave de função para abrir um grupo na library.
toggle_ctx_rec	Comutar reconhecimento de contexto
toggle_ctx_rec.h	Define uma chave de função para comutar o reconhecimento de contexto do assistente de desktop.
select_next	Selecionar entrada seguinte
select_next.h	Define uma chave de função para selecionar a entrada seguinte na janela atual.
select_prev	Selecionar entrada anterior
select_prev.h	Define uma chave de função para selecionar a entrada anterior na janela atual.
toggle_warning	Exibir diálogo de advertência
toggle_warning.h	Define uma chave de função para exibir o diálogo de advertência do assistente de desktop.
execute_step	Executar etapa
execute_step.h	Define uma chave de função para executar uma etapa durante a reprodução da visita guiada.
copy_link	Copiar link
copy_link.h	Define uma chave de função para copiar o link da entidade selecionada.
maximize_trainer	Maximizar janela de conteúdo
maximize_trainer.h	Define uma chave de função para maximizar a janela de conteúdo.
share_email	Compartilhar via e-mail
share_email.h	Define uma chave de função para compartilhar conteúdo da entidade selecionada via e-mail.
start_default	Iniciar conteúdo padrão
start_default.h	Define uma chave de função para iniciar o modo padrão ou o documento selecionado.
show_da_help	Visualizar ajuda de assistente de desktop
show_da_help.h	Define uma chave de função para abrir a ajuda de assistente de desktop.
request_content	Solicitar conteúdo
request_content.h	Define uma chave de função para solicitar conteúdo para uma página de aplicação.
search_content	Pesquisar conteúdo
search_content.h	Define uma chave de função para procurar conteúdo dependendo do tipo de pesquisa selecionado.
show_hidden_elems	Visualizar elementos de ajuda ocultos
show_hidden_elems.h	Define uma chave de função para visualizar elementos de ajuda ocultos
toggle_side_bar	Visualizar/ocultar barra lateral
toggle_side_bar.h	Define uma chave de função para visualizar e ocultar a barra lateral.
content_library	Assistente de desktop - Conteúdo e comportamento
content_library_window	Assistente de desktop - Estilo e janelas
content_library_sidebar	Assistente de desktop - Barra lateral
style	Estilo
style.h	Define a aparência dos componentes de assistente de desktop (janela principal, janela de conteúdo, ícone de status). Selecione um estilo de recurso da lista.
show_only_bar	Visualizar somente barra lateral no início
show_only_bar.h	Define se somente a barra lateral será exibida no início do assistente de desktop ou também a janela principal.
clear_on_mismatch	Anular lista de conteúdo em incompatibilidade de contexto
clear_on_mismatch.h	Define que a lista de conteúdos é eliminada caso não tenha sido encontrado um contexto. Com a configuração desativada é visualizado o conteúdo do último objeto reconhecido.
da_positioning	Alinhamento de janela principal
da_positioning.h	Define o alinhamento da janela principal na tela. A opção 'Livre' permite a definição de uma posição no parâmetro 'Posição de janela principal'.
bar_positioning	Alinhamento de barra lateral
bar_positioning.h	Define o alinhamento da barra lateral na tela.
left_top	Canto superior esquerdo
left_center	Esquerdo centrado
left_bottom	Canto inferior esquerdo
right_top	Canto superior direito
right_center	Direito centrado
top_center	Superior centro
right_bottom	Canto inferior direito
center	Centro
free	Livre
list_order	Ordenação de conteúdo
list_order.h	Define a ordenação do conteúdo disponível na lista.
by_default	Estrutura de explorador
by_name	Alfabética
by_type	Alfabético por tipo
library_position	Posição da janela principal (livre)
library_position.h	Define a posição da janela principal (esquerda, superior) para o alinhamento 'Livre' na tela. Os valores são indicados em pixels.
search_url	Grupo de pesquisa
search_url.h	Permite que você defina um grupo da área de trabalho para procurar conteúdo na @{LIBRARY}.
enable_recording	Posição: controle ‘Gravação’
enable_recording.h	Permite a você exibir um controle para processos de gravação. Você pode indicar a posição do controle na barra lateral.\nA gravação permite ao usuário gravar processos, como documentos do Microsoft Word ou como vídeos. Os arquivos gravados são exibidos na janela principal na ficha Área do usuário.
enable_exit_da	Posição: controle ‘Sair’
enable_exit_da.h	Permite a você visualizar um controle para sair do @{NAVIGATOR}. Você pode indicar a posição do controle na barra lateral.
enable_info	Visualizar ficha 'Info'
enable_info.h	Ativa a ficha 'Info' para a janela principal do assistente de desktop. Inserir um texto de informação na descrição breve do grupo de assistentes de desktop.
request_content_type	Tipo de solicitação de conteúdo
request_content_type.h	Indica a funcionalidade para solicitar conteúdo. Selecione um tipo da lista drop-down. \nE-mail: permite a você inserir um endereço de e-mail para as solicitações. \nURL: permite a você inserir um URL para abrir uma página da Web. \nÉ exibido um controle ‘Solicitar conteúdo’ na barra lateral. Se não for encontrado nenhum conteúdo, o link ‘Solicitar conteúdo’ é exibido na janela principal.
email	E-mail
url	URL
enable_request_content	Posição: controle 'Solicitar conteúdo'
enable_request_content.h	Indica a posição do controle ‘Solicitar conteúdo’ na barra lateral.
enable_external_search_ctx	Fornecer informações de contexto
enable_external_search_ctx.h	Fornece informações de contexto adicionais do usuário com o URL de pesquisa durante a pesquisa. As informações de contexto serão utilizadas para a pesquisa. Ative a configuração, se sua pesquisa indicada puder utilizar as informações de contexto. \nAs informações de contexto fornecidas são indicadas no parâmetro ‘Informações de contexto’.
external_search_ctx	Informações de contexto
external_search_ctx.h	Indica as informações de contexto, se a configuração ‘Fornecer informações de contexto’ tiver sido ativada. Podem ser fornecidas as seguintes informações de contexto: EXE da aplicação atual (&executable=$#{EXE}), chave de página da página de aplicação atual (&pagekey=$#{PAGEKEY})\nNota: Não modifique a estrutura da cadeia das informações de contexto.
enable_external_search	Posição: controle ‘Pesquisa externa’
