NAVIGATOR	Desktop Assistant
XRAY	Web Assistant
LIBRARY	library
MANAGER	Manager
form_bubble	Element za informacije obrasca
bform_height	Visina
bform_height.h	Definiše visinu elementa za informacije obrasca za prikaz u pikselima.
bform_width	Širina
bform_width.h	Definiše širinu elementa za informacije obrasca za prikaz u pikselima.
bform_position	Pozicija
bform_position.h	Definiše poziciju elementa za informacije (levo, gore) za 'Slobodno' poravnanje na ekranu. Vrednosti su date u pikselima.
paramAutoMergeComplete	Spajanje ekrana je završeno.
form	Obrazac
application_contexts	Aplikacija
﻿Application	Aplikacija
highlight_offset	Razmak
AutoBarChooseApp	Izaberi aplikaciju
AutoBarReRecManual	Kliknite na objekat.
BubbleOnActivate	Direktno prikaži element za informacije
ClickOnAAPosition	Klik na aplikaciju za definisanje pravougaonika.
ClickOnPosition	Kliknite na poziciju u aplikaciji.
EnabledOnPgLoad	Aktiviraj
HighlightOnActivate	Direktno prikaži označavanje
start_from_arbitrary	Pokreni od proizvoljnog koraka
focus_step	Sloj fokusa
focus_step.h	Samo vođeno upoznavanje sa sistemom \nPrikazuje sivi sloj za isticanje zahtevane kontrole u trenutnom koraku.
yes	Da
no	Ne
light_mode	Interaktivni način
light_mode.h	Određuje da korisnik mora da usmerava u elementu za informacije objekta do sledećeg koraka. Nema prepoznavanja stranice u toku reprodukcije.
restricted_mode	Ograničeni način
restricted_mode.h	Određuje da se samo trenutna radnje može izvršiti. Druge kontrole stranice aplikacije se blokiraju. \nPodešavanje se može koristiti ako je 'Sloj fokusa' aktiviran.
show_highlight	Označavanja
action	Radnja
active_area	Aktivna oblast
add_application_expl	Unesi objašnjenje
adv	Napredno
display_behavior	Ponašanje prikaza
all_values	Sve vrednosti
anim_steps	Koraci animacije
application_context	Aplikacija
area	Oblast
auto_merge	Spoji makroe ekrana
b_height	Visina
form_on	Način obrasca
b_percent	Element za informacije vidljiv (%)
b_hide_option	Opcija skrivanja
b_minimizable	S mogućnošću minimiziranja
b_closable	Mogućnost zatvaranja
b_minimized	Minimizirano
b_width	Širina
b_width.h	Definiše širinu elementa za informacije objekta u pikselima.
bmain_minimizable	S mogućnošću minimiziranja
bmain_position	Pozicija
bmain_win_style	Stil
bmain_size	Veličina
bmain_alignment	Poravnanje
bubble	Element za informacije objekta
bubble_offset	Razmak
bubblestyle_d	Stil
bubblestyle_init	Stil elementa za informacije
choose_appl_template	Izaberi profil aplikacije
choose_bool	Odabrana vrednost
choose_nr	Odabrani indeks
choose_text	Odabrana vrednost
target_static_text	je zabeležen kao 'Identifikator stranice'.
target_spec_warning	Upozorenje: Informacije o ponovnom beleženju nisu dostupne za ovu kontrolu.
prev_step	Prethodni korak
next_step	Sledeći korak
click	Radnja mišem
click_pos	Pozicija klika
click_pos_rel	Pozicija elementa za informacije
config_file	Profil aplikacije
define_target	Ekran
display	Uredi glavni element za informacije
display_name	Naziv prikaza
drag	Vuci
drop	Pusti
dump_page	Snimak ekrana
elem_bubble	Element za informacije objekta
element_type	Tip objekta
enabled	Aktivirano
optional	Izborno
enter	Unos mišem
executable	Aplikacija
explanation_d	Tekst
explanation_d_modified	Prevedi ručno
explanation_long	Objašnjenje
fh_mouseover	Pomoć pri prelasku mišem
fh_onelem	Ikona
fh_tooltip	Kratke informacije
fh_bubble	Element za informacije
step_list	Lista koraka
fieldicon	Slika objekta
fieldname	Naziv objekta
find	Nađi
AutoBarChooseScn	Kliknite na odgovarajući ekran
frame	Okvir
g_highlight_bgr	Boja
g_highlight_border	Okvir
g_highlight_effect	Efekat
global	Globalno
hide_on_focuslost	Sakrij pri gubitku fokusa
hilight	Označi
input_radio	Dugme odabira/kvadratić za potvrdu
input_text	Unos teksta
init	Pokretanje
key	Ključ
key_desc	Prečica
key_name	Šifra tastera
key_press	Pritisak tastera
lclick	Levi klik
ldblclick	Levi dupli klik
force_display	Prisili prikaz
auto_execute	Automatsko izvršenje
show_confirmation	Prikaži dugme Potvrda
show_confirmation.h	Definiše da li je prikazano dugme potvrde u elementu za informacije objekta tokom reprodukcije. Dugme dozvoljava korisniku potvrdu izvršene radnje i nakon toga prikazuje se sledeći korak.
link_to_sim	Unesi vezu simulacije
macro_comment	Komentar
main_bubble	Prozor
match_value	Uporedi vrednost
mini_on_focuslost	Minimiziraj pri gubitku fokusa
enable_tincan	@{NAVIGATOR} Praćenje
nav_check_freq	Ažuriraj učestalost (min)
navigation	Asistent radne površine
new_screen_context	Novi ekran
no_spike	Šema šiljka
pa_caption	Vođeno upoznavanje sa sistemom
none	Nijedan
objname	Naziv objekta
orientation	Orijentacija
path	Put objekta
position	Pozicija
rclick	Desni klik miša
rdblclick	Dupli desni klik
record_activearea	Zabeleži aktivnu oblast
record_application_context	Zabeleži aplikaciju
no_control	Objekat nije dostupan na poziciji klika.
record_control	Zabeleži objekat
record_control_pa	Zabeleži korak vođenog upoznavanja sa sistemom
record_define_target	Zabeleži ekran
record_display	Uredi glavni element za informacije
record_end_display	Uredi element za informacije
record_explanation	Dodaj objašnjenje
record_object_context	Zabeleži objekat
record_screen_context	Zabeleži ekran
record_target_specializer	Zabeleži identifikator stranice
record_compatible_application	Zabeleži kompatibilnu aplikaciju
reference	Izvor
regexp	Redovni izraz
replace	Zameni
replace_continue	Zameni i nastavi...
replace_pgkey_attr	Zameni obeležja ključa stranice
error_regexp	Nevažeći regularni izraz. Ispravite vaš unos.
resize	Promeni veličinu prozora
revision	Revizija
sc_config_header	Informacije o profilu
screen	Ekran
screenhelp	Pomoć ekrana
screenshot_rect	Pozicija snimka ekrana
select_single	Pojedinačni odabir
selected_merge	Spoji odabrane makroe ekrana
show_bubble	Direktno prikaži
show_hilight	Pokaži označavanje
show_on_focus	Prikaži pri fokusu
source	Izvor
start_unit	Stil pomoći za kontekst.
subkey	Dozvoljeno kao podključ
script	Script
target_name	Naslov
target_specializer	Identifikator stranice
text_d	Unos teksta
text_d_specializer	Unos teksta
tolerance	Spoji dopušteno odstupanje makroa ekrana
translate	Automatski prevod
autoTranslate	Prevedi projekat
paramReRecordLanguage	Jezik
merge_critical_macros	Automatski spoji makroe
merge_critical_macros.h	Ako konvertujete simulacije u usmeravanja, automatski možete da spojite ekrane kreirane na takav način. One se kombinuju pomoću vrednosti dopuštenog odstupanja određene u parametru 'Spoji dopušteno odstupanje makroa ekrana'.
uid	UID
underline	Podvuci
update_control	Ažuriraj objekat
update_target	Ažuriraj ekran
variant	Varijanta
win_rect	Veličina prozora
wizCancel	Odustani
wizFinish	Završetak
wizNext	Sledeće
wizOk	OK
wizExplanation	Objašnjenje
wizContinue	Nastavi
app_info	Pokaži aplikaciju
app_link_to_sim	Unesi vezu simulacije za aplikaciju
screen_info	Pokaži ekran
screen_link_to_sim	Unesi vezu simulacije za ekran
object_info	Varijanta prikaza
object_link_to_sim	Unesi vezu simulacije
disabled	Deaktivirano
record_context_assistant_include	Uključi @{NAVIGATOR} projekat
project_id	Naslov projekta
project_id.h	Parametar sadrži uneti projekat. Dugme 'Uredi vezu' dozvoljava vam odabir projekta u radnoj oblasti.
project	Projekat
context_assistant_include	Projekat asistenta radne površine
open_expanded	Prikaži prošireni glavni element za informacije
restart_option	Dugme Ponovo pokreni
next_project_id	Sledeći projekat
next_project_id.h	Ova opcija definiše projekat koji će biti pokrenut nakon završetka trenutnog procesa. Novi proces se direktno pokreće i neće biti prikazan element za informacije završetka.
end_unit	Završetak upoznavanja sa sistemom
add_end_unit	Dodaj završetak procesa
demo	Demo način
uebung	Način prakse
praxis	Istovremeni način
test	Način testa
doc	Word dokument
pdf	PDF dokument
html	HTML dokument
ppt	PowerPoint dokument
explanation_type	Ikona
note	Beleška
info	Informacije
tipp	Savet
warnung	Upozorenje
no_image	Nema ikone
display_on	Prikaži glavni element za informacije
nav_start	Početak usmeravanja
app_focus	Fokus aplikacije
screen_focus	Fokus ekrana
never	Nemoj prikazati
list_type	Tip liste za ekran
list_type.h	Ovaj parametar određuje tip za izlistavanje objekata na ekranu, ako je za ovo aktivirana opcija 'Prikaži sve informacije o objektu'.
unordered_list	Znaci za nabrajanje
ordered_list	Numerisanje
convert_sn	Generiši asistenta radne površine
Application	Aplikacija
obj_context	Objekat
expl_context	Objašnjenje
record_cntrl_type	Tip
disable_standby	Deaktiviraj Standby status (@{NAVIGATOR})
disable_standby.h	Određuje da se stanje pripravnosti @{NAVIGATOR} ne može postaviti. Ako je ova opcija deaktivirana, možete postaviti stanje pripravnosti pomoću prečice 'CTRL + F11' ili klikom na ikonu statusa.
disable_exit	Sakrij unos Izlaz (@{NAVIGATOR})
disable_exit.h	Određuje da je opcija 'Izlaz' u meniju konteksta ikone statusa @{NAVIGATOR} sakrivena.
bcontent_style	Stil elementa za informacije
bcontent_style.h	Ovo podešavanje definiše koji stil elementa za informacije treba da se koristi za prikaz elementa za informacije.
cache_properties	Skrivena memorija
cache_folder	Lokacija foldera
cache_folder.h	Određuje lokaciju foldera skrivene memorije 'NavigatorCache'. Standardna lokacija je '%localappdata%'. Možete da unesete korisnički definisanu lokaciju.\nBeleška: Naziv foldera skrivene memorije se ne može promeniti.
use_caching	Koristi smeštanje u skrivenu memoriju
use_caching.h	Aktivira upotrebu skrivene memorije @{NAVIGATOR}.
function_keys	Funkcijski tasteri
minimize_da	Umanji
minimize_da.h	Definiše funkcijski taster za minimiziranje glavnog prozora.
next_tab	Odaberi sledeću karticu
next_tab.h	Definiše funkcijski taster za odabir sledeće kartice u glavnom prozoru.
next_screen	Idi na sledeći ekran
next_screen.h	Definiše funkcijski taster za usmeravanje na sledeći ekran za odabrani projekat.
back	Nazad
back.h	Definiše funkcijski taster za povratak na prethodnu verziju.
toggle_standby	Prebaci način na čekanju
toggle_standby.h	Definiše funkcijski taster za prebacivanje načina na čekanju.
abort	Prekini
abort.h	Definiše funkcijski taster za prekid asistenta radne površine.
restart	Ponovo pokreni
restart.h	Definiše funkcijski taster za ponovno pokretanje asistenta radne površine.
start_pa	Pokreni projekat asistenta radne površine
start_pa.h	Definiše funkcijski taster za pokretanje odabranog projekta.
start_demo	Pokreni demo način
start_demo.h	Definiše funkcijski taster za pokretanje odabranog demo načina.
start_prac	Pokreni način prakse
start_prac.h	Definiše funkcijski taster za pokretanje odabranog načina prakse.
start_test	Pokreni način testa
start_test.h	Definiše funkcijski taster za pokretanje odabranog načina testa.
start_concur	Pokreni istovremeni način
start_concur.h	Definiše funkcijski taster za pokretanje odabranog istovremenog načina.
start_book	Pokreni knjigu
start_book.h	Definiše funkcijski taster za pokretanje odabrane knjige.
start_group	Otvori u library
start_group.h	Definiše funkcijski taster za otvaranje grupe u library.
toggle_ctx_rec	Prebaci prepoznavanje konteksta
toggle_ctx_rec.h	Definiše funkcijski taster za prebacivanje prepoznavanja konteksta asistenta radne površine.
select_next	Odaberi sledeći unos
select_next.h	Definiše funkcijski taster za odabir sledećeg unosa u trenutnom prozoru.
select_prev	Odaberi prethodni unos
select_prev.h	Definiše funkcijski taster za odabir prethodnog unosa u trenutnom prozoru.
toggle_warning	Pokaži dijalog upozorenja
toggle_warning.h	Definiše funkcijski taster za pokazivanje dijaloga upozorenja asistenta radne površine.
execute_step	Izvrši korak
execute_step.h	Definiše funkcijski taster za izvršenje koraka tokom reprodukcije vođenog upoznavanja sa sistemom.
copy_link	Kopiraj vezu
copy_link.h	Definiše funkcijski taster za vezu kopiranja odabranog entiteta.
maximize_trainer	Uvećaj prozor sadržaja
maximize_trainer.h	Definiše funkcijski taster za uvećavanje prozora sadržaja.
share_email	Deli preko e-pošte
share_email.h	Definiše funkcijski taster za deljenje sadržaja odabranog entiteta preko e-pošte.
start_default	Pokreni standardni sadržaj
start_default.h	Definiše funkcijski taster za pokretanje standardnog načina ili odabranog dokumenta.
show_da_help	Prikaži pomoć asistenta radne površine
show_da_help.h	Definiše funkcijski taster za otvaranje pomoći asistenta radne površine.
request_content	Zahtevaj sadržaj
request_content.h	Definiše funkcijski taster za zahtevanje sadržaja za aplikacijsku stranicu.
search_content	Traži sadržaj
search_content.h	Definiše funkcijski taster za traženje sadržaja u zavisnosti od odabranog tipa traženja.
show_hidden_elems	Pokaži sakrivene elemente pomoći
show_hidden_elems.h	Definiše funkcijski taster za prikaz skrivenih elemenata pomoći.
toggle_side_bar	Prikaži/sakrij bočnu traku
toggle_side_bar.h	Definiše ključ funkcije za prikaz i sakrivanje bočne trake.
content_library	Asistent radne površine - sadržaj i ponašanje
content_library_window	Asistent radne površine - stil i prozori
content_library_sidebar	Asistent radne površine - bočna traka
style	Stil
style.h	Definiše izgled komponenti asistenta radne površine (glavni prozor, prozor sadržaja, ikona statusa). Odaberi resurs stila s liste.
show_only_bar	Pokaži samo bočnu traku na početku
show_only_bar.h	Definiše da li će bočna traka biti prikazana na početku asistenta radne površine ili takođe u glavnom prozoru.
clear_on_mismatch	Izbriši listu sadržaja pri neslaganju konteksta
clear_on_mismatch.h	Definiše, da je lista sadržaja izbrisana ako kontekst nije nađen. Sa deaktiviranim podešavanjem sadržaj poslednjeg prepoznatog objekta je pokazan.
da_positioning	Poravnanje glavnog prozora
da_positioning.h	Definiše poravnanje glavnog prozora na ekranu. Opcija 'Slobodno' omogućava definisanje pozicije u parametru 'Pozicija glavnog prozora'.
bar_positioning	Poravnanje bočne trake
bar_positioning.h	Definiše poravnanje bočne trake na ekranu.
left_top	Gornji levi ugao
left_center	Levo centrirano
left_bottom	Donji levi ugao
right_top	Gornji desni ugao
right_center	Desno centrirano
top_center	Sredina na vrhu
right_bottom	Donji desni ugao
center	Centar
free	Slobodno
list_order	Ređanje sadržaja
list_order.h	Definiše ređanje dostupnog sadržaja na listi.
by_default	Struktura pretraživača
by_name	Abecedno
by_type	Abecedno po tipu
library_position	Pozicija glavnog prozora (slobodna)
library_position.h	Definiše poziciju glavnog prozora (levo, gore) za 'slobodno' poravnanje na ekranu. Vrednosti su date u pikselima.
search_url	Traži grupu
search_url.h	Omogućava vam da odredite grupu radnih oblasti za traženje sadržaja u @{LIBRARY}.
enable_recording	Pozicija: Kontrola 'Beleženje'
enable_recording.h	Omogućava vam da prikažete kontrolu za procese snimanja. Možete odrediti poziciju kontrole na bočnoj traci.\nSnimanje korisniku omogućava da zabeleži procese kao Microsoft Word dokumente ili kao video materijale. Snimljeni fajlovi se prikazuju na glavnom prozoru na kartici Oblast korisnika.
enable_exit_da	Pozicija: Kontrola 'Izlaz'
enable_exit_da.h	Omogućava vam da prikažete kontrolu za odustajanje od @{NAVIGATOR}. Možete odrediti poziciju kontrole na bočnoj traci.
enable_info	Pokaži karticu 'Info'
enable_info.h	Aktivira karticu 'Info' za glavni prozor asistenta radne površine. Unesite info tekst kratkog opisa grupe asistenata radne površine.
request_content_type	Tip zahteva za sadržaj
