NAVIGATOR	Desktop Assistant
XRAY	Web Assistant
LIBRARY	library
MANAGER	Manager
form_bubble	Formularboble
bform_height	Højde
bform_height.h	Definerer højden på den formularboble, der skal vises i pixels
bform_width	Bredde
bform_width.h	Definerer bredden på den formularboble, der skal vises i pixels
bform_position	Position
bform_position.h	Definerer position for formularboble (venstre, oppe) for justeringen 'Fri' på skærmen. Værdierne angives i pixels.
paramAutoMergeComplete	Fletning af skærme afsluttet
form	Formular
application_contexts	Applikation
﻿Application	Applikation
highlight_offset	Offset
AutoBarChooseApp	Vælg applikation
AutoBarReRecManual	Klik på objekt
BubbleOnActivate	Vis boblen direkte
ClickOnAAPosition	Klik på applikationen for at definere rektanglet
ClickOnPosition	Klik på en position i applikationen
EnabledOnPgLoad	Aktivér
HighlightOnActivate	Vis fremhævelsen direkte
start_from_arbitrary	Start fra vilkårligt trin
focus_step	Fokuslag
focus_step.h	Kun guidet rundvisning\nViser et gråt lag for at fremhæve det nødvendige styreelement for det aktuelle trin.
yes	Ja
no	Nej
light_mode	Interaktiv mode
light_mode.h	Angiver at brugeren skal navigere i objektboblen til næste trin. Ingen sidegenkendelse udføres under afspilning.
restricted_mode	Begrænset mode
restricted_mode.h	Angiver, at kun den aktuelle aktion kan udføres. De andre styreelementer for applikationssiden spærres. \nIndstillingen kan anvendes, hvis 'Fokuslag' er aktiveret.
show_highlight	Fremhævelser
action	Aktion
active_area	Aktivt område
add_application_expl	Indsæt forklaring
adv	Udvidet
display_behavior	Visningsadfærd
all_values	Alle værdier
anim_steps	Animationstrin
application_context	Applikation
area	Område
auto_merge	Flet skærmmakroer
b_height	Højde
form_on	Formularmode
b_percent	Boble synlig (%)
b_hide_option	Vis skjulningsmulighed
b_minimizable	Kan minimeres
b_closable	Kan lukkes
b_minimized	Minimeret
b_width	Bredde
b_width.h	Definerer bredden på objektboblen i pixels
bmain_minimizable	Kan minimeres
bmain_position	Position
bmain_win_style	Typografi
bmain_size	Størrelse
bmain_alignment	Justering
bubble	Objektboble
bubble_offset	Offset
bubblestyle_d	Stil
bubblestyle_init	Boblestil
choose_appl_template	Vælg applikationsprofil
choose_bool	Valgt værdi
choose_nr	Valgt indeks
choose_text	Valgt værdi
target_static_text	optages som 'Sideidentifikator'.
target_spec_warning	Advarsel: Ingen informationer om ny optagelse tilgængelige for dette styreelement
prev_step	Trin -
next_step	Trin +
click	Museaktion
click_pos	Klik på position
click_pos_rel	Bobleposition
config_file	Applikationsprofil
define_target	Skærm
display	Rediger hovedboble
display_name	Vis navn
drag	Træk
drop	Slip
dump_page	Skærmbillede
elem_bubble	Objektboble
element_type	Objekttype
enabled	Aktiveret
optional	Valgfri
enter	Museindgang
executable	Applikation
explanation_d	Tekst
explanation_d_modified	Oversæt manuelt
explanation_long	Forklaring
fh_mouseover	Hjælp ved mouseover
fh_onelem	Ikon
fh_tooltip	Værktøjstip
fh_bubble	Boble
step_list	Trinliste
fieldicon	Objektbillede
fieldname	Objektnavn
find	Søg
AutoBarChooseScn	Klik på tilsvarende skærm
frame	Ramme
g_highlight_bgr	Farve
g_highlight_border	Ramme
g_highlight_effect	Effekt
global	Global
hide_on_focuslost	Skjul ved mistet fokus
hilight	Fremhæv
input_radio	Valgknap/afkrydsningsfelt
input_text	Inputtekst
init	Initialiser
key	Tast
key_desc	Hurtigtast
key_name	Tastekode
key_press	Tastetryk
lclick	Venstre klik
ldblclick	Venstre dobbeltklik
force_display	Fremtving visning
auto_execute	Automatisk udførelse
show_confirmation	Vis bekræftelsesknap
show_confirmation.h	Definerer, om en bekræftelsesknap vises i objektboblen under playback. Knappen gør det muligt for brugeren at bekræfte en udført aktion, og efterfølgende vises næste trin.
link_to_sim	Indsæt simuleringslink
macro_comment	Kommentar
main_bubble	Vindue
match_value	Matchværdi
mini_on_focuslost	Minimer ved mistet fokus
enable_tincan	@{NAVIGATOR} Sporing
nav_check_freq	Opdateringsfrekvens (min.)
navigation	Desktop-guide
new_screen_context	Ny skærm
no_spike	Ingen spike
pa_caption	Guidet rundvisning
none	Ingen
objname	Objektnavn
orientation	Retning
path	Objektsti
position	Position
rclick	Højre museklik
rdblclick	Højre dobbeltklik
record_activearea	Optag aktivt område
record_application_context	Optag applikation
no_control	Intet objekt tilgængeligt ved klikket position
record_control	Optag objekt
record_control_pa	Optag trin i guidet rundvisning
record_define_target	Optag skærm
record_display	Rediger hovedboble
record_end_display	Rediger boble
record_explanation	Tilføj forklaring
record_object_context	Optag objekt
record_screen_context	Optag skærm
record_target_specializer	Optag sideidentifikator
record_compatible_application	Optag kompatibel applikation
reference	Kilde
regexp	Regulært udtryk
replace	Erstat
replace_continue	Erstat og fortsæt...
replace_pgkey_attr	Erstat sidenøgleattributter
error_regexp	Ugyldigt regulært udtryk. Korriger dit input.
resize	Tilpas vinduesstørrelsen
revision	Revision
sc_config_header	Profilinformation
screen	Skærm
screenhelp	Skærmhjælp
screenshot_rect	Skærmbilledposition
select_single	Vælg enkelt
selected_merge	Flet valgte skærmmakroer
show_bubble	Vis direkte
show_hilight	Vis fremhævelse
show_on_focus	Vis ved fokus
source	Kilde
start_unit	Stil konteksthjælp
subkey	Tilladt som undernøgle
script	Script
target_name	Titel
target_specializer	Sideidentifikator
text_d	Inputtekst
text_d_specializer	Inputtekst
tolerance	Tolerance til fletning af skærmmakroer
translate	Automatisk oversættelse
autoTranslate	Oversæt project
paramReRecordLanguage	Sprog
merge_critical_macros	Flet makroer automatisk
merge_critical_macros.h	Hvis du konverterer simuleringer til navigationer, kan du automatisk flette de skærme, der er oprettet således. Dette kombineres ved hjælp af den determinerede toleranceværdi i parameteren 'Flet tolerance for skærmmakroer'.
uid	UID
underline	Understreg
update_control	Opdater objekt
update_target	Opdater skærm
variant	Variant
win_rect	Vinduesstørrelse
wizCancel	Afbryd
wizFinish	Afslut
wizNext	Næste
wizOk	OK
wizExplanation	Forklaring
wizContinue	Fortsæt
app_info	Vis applikation
app_link_to_sim	Indsæt simuleringslink for applikation
screen_info	Vis skærm
screen_link_to_sim	Indføj simuleringslink til skærm
object_info	Visningsvariant
object_link_to_sim	Indsæt simuleringslink
disabled	Inaktiveret
record_context_assistant_include	Inkluder @{NAVIGATOR} projekt
project_id	Projekttitel
project_id.h	Parameteren indeholder det indsatte projekt. Knappen 'Rediger link' gør det muligt at vælge projektet i arbejdsområdet.
project	Projekt
context_assistant_include	Desktop-guideprojekt
open_expanded	Vis udvidet hovedboble
restart_option	Knappen Genstart
next_project_id	Næste projekt
next_project_id.h	Denne valgmulighed definerer et projekt, der startes efter afslutning af den aktuelle proces. Den nye proces startes direkte, og ingen slutboble vises.
end_unit	Slut på rundvisning
add_end_unit	Tilføj processlut
demo	Demomode
uebung	Øvelsesmode
praxis	Parallel mode
test	Testmode
doc	Word-dokument
pdf	PDF-dokument
html	HTML-dokument
ppt	PowerPoint-dokument
explanation_type	Ikon
note	Note
info	Info
tipp	Tip
warnung	Advarsel
no_image	Intet ikon
display_on	Vis hovedboble på
nav_start	Navigationsstart
app_focus	Applikationsfokus
screen_focus	Skærmfokus
never	Vis ikke
list_type	Listetype for skærm
list_type.h	Denne parameter determinerer typen til oplistningen af objekterne i skærmen, hvis valgmuligheden 'Vis alle objektinformationer' aktiveres til dette.
unordered_list	Punkttegn
ordered_list	Nummerering
convert_sn	Generer desktop-guide
Application	Applikation
obj_context	Objekt
expl_context	Forklaring
record_cntrl_type	Type
disable_standby	Deaktiver standby-status (@{NAVIGATOR})
disable_standby.h	Angiver, at standby-status for @{NAVIGATOR} ikke kan sættes. Hvis denne valgmulighed er inaktiveret, kan du sætte standby-status med genvejen 'CTRL + F11' eller ved at klikke på statusikonet.
disable_exit	Skjul exit-entry (@{NAVIGATOR})
disable_exit.h	Angiver, at entry 'Exit' i genvejsmenuen for statusikonet for @{NAVIGATOR} skjules.
bcontent_style	Boblestil
bcontent_style.h	Denne indstilling definerer, hvilken boblestil der skal anvendes til visning af boblen
cache_properties	Cache
cache_folder	Mappeplacering
cache_folder.h	Angiver placeringen af cache-mappen 'NavigatorCache'. Standardplaceringen er '%localappdata%'. Du kan indtaste en brugerdefineret placering. \nBemærk: Navnet på cache-mappen kan ikke ændres.
use_caching	Anvend cache
use_caching.h	Aktiverer anvendelsen af cache @{NAVIGATOR}.
function_keys	Funktionstaster
minimize_da	Minimer
minimize_da.h	Definerer funktionstast til minimering af hovedvindue
next_tab	Vælg næste faneblad
next_tab.h	Definerer funktionstast til valg af næste faneblad i hovedvindue
next_screen	Gå til næste skærm
next_screen.h	Definerer en funktionstast til at navigere til den næste skærm for et valgt projekt
back	Gå tilbage
back.h	Definerer en funktionstast til at gå til den foregående skærm
toggle_standby	Skift standby-mode
toggle_standby.h	Definerer funktionstast til skift af standby-mode
abort	Afbryd
abort.h	Definerer funktionstast til afbrydelse af desktop-guide
restart	Genstart
restart.h	Definerer funktionstast til genstart af desktop-guide
start_pa	Start desktop-guideprojekt
start_pa.h	Definerer funktionstast til start af valgt projekt
start_demo	Start demomode
start_demo.h	Definerer funktionstast til start af valgt demomode
start_prac	Start øvelsesmode
start_prac.h	Definerer funktionstast til start af valgt øvelsesmode
start_test	Start testmode
start_test.h	Definerer funktionstast til start af valgt testmode
start_concur	Start parallel mode
start_concur.h	Definerer funktionstast til start af valgt parallel mode
start_book	Start bog
start_book.h	Definerer funktionstast til start af valgt bog
start_group	Åbn i library
start_group.h	Definerer en funktionstast til at åbne en gruppe i library
toggle_ctx_rec	Skift kontekstgenkendelse
toggle_ctx_rec.h	Definerer funktionstast til skift af kontekstgenkendelse af desktop-guide
select_next	Vælg næste entry
select_next.h	Definerer en funktionstast til at vælge den næste entry i det aktuelle vindue
select_prev	Vælg foregående entry
select_prev.h	Definerer en funktionstast til at vælge foregående entry i det aktuelle vindue
toggle_warning	Vis advarselsdialog
toggle_warning.h	Definerer funktionstast til visning af advarselsdialog for desktop-guide
execute_step	Udfør trin
execute_step.h	Definerer funktionstast til udførelse af trin ved afspilning af guidet rundvisning
copy_link	Kopier link
copy_link.h	Definerer en funktionstast til kopiering af link til den valgte entitet
maximize_trainer	Maksimer indholdsvindue
maximize_trainer.h	Definerer en funktionstast til maksimering af indholdsvinduet.
share_email	Del via e-mail
share_email.h	Definerer en funktionstast til at dele indholdet af den valgte entitet via e-mail
start_default	Start standardindhold
start_default.h	Definerer en funktionstast til at starte standardmode eller selekteret dokument
show_da_help	Vis hjælp til desktop-guide
show_da_help.h	Definerer en funktionstast til at åbne hjælp til desktop-guide
request_content	Forespørg om indhold
request_content.h	Definerer en funktionstast til at rekvirere indhold for en applikationsside
search_content	Søg indhold
search_content.h	Definer en funktionstast til at søge efter indhold afhængigt af den valgte søgetype
show_hidden_elems	Vis skjulte hjælpeelementer
show_hidden_elems.h	Definerer en funktionstast til at vise skjulte hjælpeelementer
toggle_side_bar	Vis/skjul sidepanel
toggle_side_bar.h	Definerer en funktionstast til at vise og skjule sidepanelet
content_library	Desktop-guide - indhold og adfærd
content_library_window	Desktop-guide - stil og vinduer
content_library_sidebar	Desktop-guide - sidepanel
style	Stil
style.h	Definerer udseendet af komponenter for desktop-guide (hovedvindue, indholdvindue, statusikon). Vælg en stilressource fra listen.
show_only_bar	Vis kun sidepanel ved start
show_only_bar.h	Definerer, om kun sidepanelet eller også hovedvinduet vises ved start af desktop-guiden
clear_on_mismatch	Slet indholdsliste ved manglende overensstemmelse
clear_on_mismatch.h	Definerer, at indholdslisten slettes, hvis ingen kontekst blev fundet. Med inaktiveret indstilling vises indholdet af det senest genkendte objekt.
da_positioning	Hovedvinduesjustering
da_positioning.h	Definerer justering af hovedvinduet på skærmen. Valgmuligheden 'Fri' gør det muligt at definere en position i parameteren 'Position for hovedvindue'.
bar_positioning	Sidepanelsjustering
bar_positioning.h	Definerer justering af sidepanelet på skærmen
left_top	Øvre venstre hjørne
left_center	Venstre midte
left_bottom	Nedre venstre hjørne
right_top	Øverste højre hjørne
right_center	Højre midte
top_center	Midte foroven
right_bottom	Nedre højre hjørne
center	Centreret
free	Fri
list_order	Indholdssortering
list_order.h	Definerer sortering af tilgængeligt indhold i listen
by_default	Projekt-explorer-struktur
by_name	Alfabetisk
by_type	Alfabetisk pr. type
library_position	Hovedvinduesposition (fri)
library_position.h	Definerer hovedvinduets position (venstre, top) for 'Fri' justering på skærmen. Værdier angives i pixels.
search_url	Søg gruppe
search_url.h	Gør det muligt for dig at angive en gruppe for arbejdsområdet til at søge indhold i @{LIBRARY}.
enable_recording	Position: ’Optagelse’-styreelement
enable_recording.h	Giver dig mulighed for at vise et styreelement til at optage processer. Du kan angive positionen for dette styreelement i sidepanelet.\nOptagelsen giver brugeren mulighed for at optage processer som Microsoft Word-dokumenter eller som videoer. En ’Brugerområde’-tab vises i hovedvinduet for at vise de optagede filer.
enable_exit_da	Position: 'Afslut'-styreelement
enable_exit_da.h	Giver dig mulighed for at vise et styreelement til at afslutte @{NAVIGATOR}. Du kan angive positionen for styreelementet i sidepanelet.
enable_info	Vis fanebladet 'Info'
enable_info.h	Aktiverer 'Info'-tabben for hovedvinduet for desktop-guiden. Indsæt en informationstekst i kortbeskrivelsen af desktop-guidegruppen.
request_content_type	Rekvirer indholdstype
request_content_type.h	Angiver funktionaliteten til rekvirering af indhold. Vælg en type fra rullelisten. \nE-mail: Giver dig mulighed for at indtaste en e-mail-adresse for forespørgslerne. \nURL: Giver dig mulighed for at indtaste en URL til åbning af en webside. \nEt ’Rekvirer indhold’-styreelement vises i sidepanelet. Hvis intet indhold findes, vises linket til rekvirering af indhold i hovedvinduet.
email	E-mail
url	URL
enable_request_content	Position: 'Rekvirer indhold'-styreelement
enable_request_content.h	Angiver positionen for 'Rekvirer indhold’-styreelementet i sidepanelet.
enable_external_search_ctx	Angiv kontekstinformationer
enable_external_search_ctx.h	Angiver yderligere kontekstinformationer for brugeren med søge-URL’en under søgningen. Kontekstoplysningerne anvendes til søgning. Aktiver indstillingen, hvis din angivne søgning kan anvende kontekstinformationerne. \nDe angivne kontekstinformationer angives i parameteren 'Kontekstinformationer’.
external_search_ctx	Kontekstinformationer
external_search_ctx.h	Angiver kontekstinformationerne, hvis indstillingen 'Angiv kontekstinformationer’ blev aktiveret. Følgende kontekstinformationer kan angives: EXE for den aktuelle applikation (&executable=$#{EXE}), sidenøglen for den aktuelle applikationsside (&pagekey=$#{PAGEKEY})\nBemærk: Ændr ikke strukturen for kontekstinformationsstrengen.
enable_external_search	Position: 'Ekstern søgning'-styreelement
